word,tags,ipa
Fódhla,,"ˈfˠoːlˠə, ˈfˠoːl̪ˠə"
Fórsa Cosanta Áitiúil,,ˈfˠoːɾˠsˠə ˈkɔsˠən̪ˠt̪ˠə ˈaːtʲuːlʲ
Gaedhilge,,ˈɡeːlʲɟə
Gaedhlaing,,ˈɡeːlɪɲ
Gaeil,,ɡeːlʲ
Gaeilge na hAlban,,"ˈɡeːlʲɟɪ nˠə ˈhalˠəbˠənˠ, ˈɡeːlʲɟɪ n̪ˠə ˈhal̪ˠəbˠən̪ˠ"
Gaeilge na hÉireann,,"ˈɡeːlʲɟɪ nˠə ˈheːɾʲən̪ˠ, ˈɡeːlʲɟɪ n̪ˠə ˈheːɾʲən̪ˠ"
Gaeilic,,ˈɡeːlʲic
Gael,,"ɡeːlˠ, ɡeːl̪ˠ"
Gaelach,Connacht,ˈɡeːlˠəx
Gaelach,Munster; Connacht,ˈɡeːl̪ˠəx
Gaeltacht,Munster; Connacht,ˈɡeːl̪ˠt̪ˠəxt̪ˠ
Garda,Munster; Connacht,ˈɡɑːɾˠd̪ˠə
Garda Síochána,Connacht,"ˈɡɑːɾˠd̪ˠə ˈʃiːxɑːnˠə, ˈɡɑːɾˠd̪ˠə ˈʃiːxɑːn̪ˠə"
Gardaí,Connacht,ˈɡɑːɾˠd̪ˠiː
Gearmáinis,Connacht,ˈɟaɾˠəmˠɑːnʲɪʃ
Gearóid,Connacht,ˈɟaɾˠoːdʲ
Gh,,"j, ɟ, ɣ"
Ghaelach,Connacht,ˈɣeːlˠəx
Ghaelach,Munster; Connacht,ˈɣeːl̪ˠəx
Giúdach,Munster; Connacht,ˈɟuːd̪ˠəx
Gráinne,Connacht,ˈɡɾˠɑːn̠ʲə
Gréigis,,ˈɟɾʲeːɟɪʃ
Haváis,,"haˈwaːɪʃ, ˈhawaːɪʃ"
Iacób,,ˈiəkoːbˠ
Iarmhí,Ulster; Connacht,əˌn̠ʲiəɾˠˈvʲiː
Idirlíon,,"-ˌl̠ʲiːnˠ, ˈɪdʲəɾʲˌl̠ʲiːn̪ˠ"
Imánál,,ɪˈmˠɑːn̪ɑːl̪ˠ
India,,ˈɪnʲdʲiə
Indiacha,Connacht,ˈinʲiəxə
Inid,,ˈɪnʲədʲ
Inide,,ˈɪnʲədʲə
Inis,,ˈɪnʲɪʃ
Inis Meáin,,ˌɪnʲəʃ ˈmʲɑːnʲ
Iodáil,Connacht,ˈɪd̪ˠɑːlʲ
Iodáilis,,"ɪˈdˠaːlʲɪʃ, ˈɪdˠaːlʲɪʃ"
Iorua,Ulster; Connacht,ˈɪɾˠuə
Iúil,,uːlʲ
Iúr,Ulster; Connacht,ən̠ʲˈtʲuːɾˠ
Laighin,,l̪ˠəinʲ
Laoghaire,Ulster; Connacht,ˈl̪ˠiːɾʲə
Laois,,l̪ˠiːʃ
Laoise,,ˈl̪ˠiːʃə
Latharna,,ˈl̪ˠahəɾˠn̪ˠə
Leitir Ceanainn,Ulster; Connacht,"ˌl̠ʲɛtʲəɾʲ ˈcanˠən̠ʲ, ˌl̠ʲɛtʲəɾʲ ˈcan̪ˠən̠ʲ"
Liam,,l̠ʲiəmˠ
Liatroim,,ˈl̠ʲiət̪ˠɾˠəmʲ
Life,,l̠ʲɪfʲə
Ll,,"l̠ʲ, l̪ˠ"
Loch Garman,,"ˌl̪ˠɔx ˈɡaɾˠəmˠənˠ, ˌl̪ˠɔx ˈɡaɾˠəmˠən̪ˠ"
Lorgain,,ˈl̪ˠɔɾˠəɡənʲ
Luan,,"l̪ˠuənˠ, l̪ˠuən̪ˠ"
Luan Cásca,Connacht,ˌl̪ˠuənˠ ˈkɑːsˠkə
Luan Cásca,Munster; Connacht,ˌl̪ˠuən̪ˠ ˈkɑːsˠkə
Luimneach,,ˈl̪ˠɪmʲənʲəx
Lá Fhéile,,ˌl̪ˠɑː ˈeːlʲə
Lá Fhéile Pádraig,,ˌl̪ˠɑː ˌeːlʲə ˈpˠɑːɾˠɪc
Lúnasa,,ˈl̪ˠuːn̪ˠəsˠə
Mac,,mˠak
Macha,,ˈmˠaxə
Malaeis,,"mˠaˈlˠeːɪʃ, ˈmˠalˠeːɪʃ"
Manainnis,,ˈmˠanˠən̠ʲɪʃ
Maoldúin,Connacht,ˈmˠiːl̪ˠd̪ˠuːnʲ
Meicsiceo,,"ˈmɛk.sɪ.koː, ˈmʲɛc.ʃɪ.coː"
Meireacá,Connacht,ˈmʲɛɾʲəkɑː
Meiriceá,Connacht,ˈmʲɛɾʲəcɑː
Meán Fómhair,,ˌmʲɑːn̪ˠ ˈfoːwəɾʲ
Mh,,"vʲ, w"
Mhacha,,ˈwaxə
Mhuire,Ulster; Connacht,ˈwɪɾʲə
Mháire,Connacht,ˈwɑːɾʲə
Mhí,,vʲiː
