,tags,ipa,word,region
0,Ulster,/ˈkaɾˠhənˠəsˠ/,carthanas,Ulster
1,Ulster,/ˈkaɾˠhən̪ˠəsˠ/,carthanas,Ulster
0,Ulster,/ˈcɨ̞hɾˠəmˠ/,cithréim,Ulster
0,Ulster,/ˈcɨ̞hɾˠəmˠa(x)/,cithréimeach,Ulster
0,Ulster,/ˈcɨ̞hɾˠəmˠa(x)/,ciothramach,Ulster
0,Ulster,/ˈt̪ˠaːɾˠhalˠa(x)/,tarrthálach,Ulster
1,Ulster,/ˈt̪ˠaːɾˠhal̪ˠa(x)/,tarrthálach,Ulster
0,Ulster,/ˈɾˠaːtʲ/,ráit,Ulster
0,Ulster,/ˈkɨ̞ɾˠhaxə/,curthacha,Ulster
1,Ulster,/ˈkʌɾˠhaxə/,curthacha,Ulster
0,Ulster,/ˈɡʌɾˠhə/,gortha,Ulster
0,Munster,/ˈɟɯbˠɟabˠ/,giob geab,Munster
0,,/ˈɪn̠ʲəl̪ˠ ˈd̪ˠoːtʲɑːnʲ/,inneall dóiteáin,
0,Munster,/ˈdʲɯks/,diucs,Munster
0,Munster,/ˌhɑn̪ˠəmˠ ənʲˈdʲɯks/,th'anam don diucs,Munster
0,,/ɟɯksˠ/,giucs,
0,,/ˈɟlʲɯɡəɾʲə/,gliogaire,
0,Munster,/sˠpʲɾʲɯk/,sprioc,Munster
0,Aran,/ˈfʲaɾˠsˠədʲ/,fearsaid,Connacht
1,Aran,/ˈfʲaɾˠsˠəd̪ˠ/,fearsaid,Connacht
2,Ulster,/ˈfʲaɾˠsˠəd̪ˠ/,fearsaid,Ulster
0,Ulster,/ˈkiːɾʲ hɪnʲu ɔɾˠt̪ˠ/,caor thine ort,Ulster
0,Ulster,/ˈt̪ˠɾˠɪʃl̠ʲi/,tuisligh,Ulster
0,Ulster,/ˈtʲɾʲɨ̞mˠi/,triomaigh,Ulster
0,Ulster,/ˈtʲɾʲoːɾʲə/,treoraigh,Ulster
0,Munster,/coˈxɑ̃ːn̪ˠ/,ciachán,Munster
0,Munster,/bˠʊˈsˠoːɡ/,boiseog,Munster
0,Ulster,/ˈpˠɔːnˠəɾʲə/,pónaire,Ulster
1,Ulster,/ˈpˠɔːn̪ˠəɾʲə/,pónaire,Ulster
0,,/ˈfʲɛlʲəmʲ/,feilim,
0,,/ˈfʲɛlʲən̪ˠ/,feileann,
0,Munster,/bˠɾˠɪˈtʲiːnʲəx/,bruitíneach,Munster
0,Ulster,/ˈd̪ˠɪɾʲəbʲ/,doirb,Ulster
0,Mayo,/ˈimʲiɾʲcə/,imirce,Connacht
1,Ulster,/ˈɨmʲiɾʲcə/,imirce,Ulster
0,,/dʲɾʲeːmʲ/,dréim,
0,,/ˌtʲɪnʲə ˈçɾʲasˠə/,tine chreasa,
0,Ulster,/ˈpʲɾʲabˠanˠ/,preabán,Ulster
1,Ulster,/ˈpʲɾʲabˠan̪ˠ/,preabán,Ulster
0,Ulster,/ˌpʲɾʲabˠan̪ˠ ˈsˠaːlʲə/,preabán sáile,Ulster
0,,/ˈkɛʃɾʲək/,coisreac,
1,Ulster,/ˈkɔʃɾʲək/,coisreac,Ulster
0,Aran,/ˈkoɾʲʃəkəmʲ/,coisreacaim,Connacht
1,,/ˈkʌʃtʲɾʲakəmʲ/,coisreacaim,
2,Ulster,/ˈkɔʃɾʲɨkəmˠ/,coisreacaim,Ulster
3,Ulster,/ˈkɔʃɾʲiciːmˠ/,coisreacaim,Ulster
0,Ulster,/ˈfˠaiçɪl̠ʲ/,faichill,Ulster
0,Ulster,/ˈcɾʲat̪ˠanˠ/,cneatán,Ulster
1,Ulster,/ˈcɾʲat̪ˠan̪ˠ/,cneatán,Ulster
0,Ulster,/ˈcɾʲad̪ˠi/,cneadach,Ulster
0,Munster,/ˈkɑːbˠəl̪ˠə/,cábla,Munster
1,Connacht,/ˈkɑːbˠlˠə/,cábla,Connacht
2,Ulster,/ˈkaːbˠlˠə/,cábla,Ulster
0,Connacht,/ˈfʲi.ɑːn̪ˠt̪ˠəsˠ/,fiántas,Connacht
0,Ulster,/ˈfʲiːɾʲˌɪʃcɪ/,fíoruisce,Ulster
0,,/ˈfʲiːɾʲˌwãiç/,fíormhaith,
0,,/fʲiəɾʲ/,fiair,
0,Munster,/ˈfˠɔn̪ˠəvˠəɾˠ/,fonnmhar,Munster
1,Munster,/ˈfˠɞn̪ˠəvˠəɾˠ/,fonnmhar,Munster
2,Aran,/ˈfˠuːn̪ˠwəɾˠ/,fonnmhar,Connacht
3,Aran,/ˈfˠoːn̪ˠuːɾˠ/,fonnmhar,Connacht
4,Aran,/ˈfˠoːnˠuːɾˠ/,fonnmhar,Connacht
0,Munster,/ˈkan̪ˠəx/,canach,Munster
1,Connacht,/ˈkanˠəx/,canach,Connacht
2,Ulster,/ˈkanˠa(x)/,canach,Ulster
0,Munster,/sˠkeːh/,scaoth,Munster
1,Connacht; Ulster,/sˠkiː/,scaoth,Connacht; Ulster
0,Connacht; Munster,/ciəvˠ/,ciabh,Connacht; Munster
1,Mayo; Ulster,/ciəw/,ciabh,Connacht; Ulster
0,,/ˈdʲɛfʲəɾʲəx/,deifreach,
0,Aran,/ˈfʲiəxən̠ʲtʲ/,fiachaint,Connacht
0,,/ˈfʲiəxt̪ˠə/,fiachta,
0,Ulster,/ˈkaihɾʲiɔɾʲ/,cathróir,Ulster
0,Ulster,/ˌcɛd̪ˠinʲ ə ˈl̪ˠuəhɾʲi/,Céadaoin an Luaithrigh,Ulster
0,Ulster,/ˈl̪ˠuəhɾʲəwanˠ/,luaithreamhán,Ulster
1,Ulster,/ˈl̪ˠuəhɾʲəwan̪ˠ/,luaithreamhán,Ulster
0,Ulster,/ˈfʲiəɾʲhulʲ/,fiarshúil,Ulster
0,Munster,/ˈmˠiːn̠ʲəx/,Muimhneach,Munster
0,,/ɾˠuəɡ/,ruag,
0,Cork,/əiˈɲiː/,aibhní,Munster
0,Munster,/auˈɾˠoːx/,anróch,Munster
0,Munster,/ˈt̪ˠɑnʲhəvˠəx/,taitneamhach,Munster
0,Munster,/ˈd̪ˠeːɾˠə/,daoradh,Munster
1,Galway,/ˈd̪ˠiːɾˠə/,daoradh,Connacht
