word,tags,ipa
slogadh,Galway,ˈsˠl̪ˠɔɡəvˠ
Muimhneach,Munster,ˈmˠiːn̠ʲəx
agamsa,Aran,"ˈɑmˠsˠə, ˈɑɡəmˠsˠə"
cathaoireacha,Munster,kaˈhiːɾʲəxə
curach,Ulster,"ˈkɤɾˠa, ˈkɤɾˠah, ˈkɤɾˠax"
Gearmáin,Mayo; Connemara,ˈɟaɾˠəmˠɑːnʲ
coicheán,Ulster,ˈkɔihanˠ
Connacht,Munster,ˈkɔn̪ˠəxt̪ˠ
óstach,Ulster,ˈɔːsˠt̪ˠa(h)
garga,,ˈɡaɾˠəɡə
áiteamh,Ulster,ˈɑːtʲu
comparáid,Munster,kõmˠpˠəˈɾˠɑːdʲ
dílse,Galway,ˈdʲiːlʲʃə
beidh,Connacht,"bʲai, bʲe"
fuinseog,Connacht,ˈfˠɪn̠ʲʃoːɡ
éad,Ulster; Connacht,eːd̪ˠ
catach,Connacht,ˈkat̪ˠəx
treabhaite,Ulster,ˈtʲɾʲɨ̞tʲə
orla,,ˈɔːɾˠl̪ˠə
teoiric,Ulster,ˈtʲɔːɾʲɪc
sleá,Munster; Connacht,ˈʃl̠ʲɑː
foscadh,Cois-Fharraige,ˈfˠasˠkə
ribe,,ˈɾˠɪbʲə
páistí,Munster,pˠɑːʃˈtʲiː
cóisir,Munster; Connacht,ˈkoːʃəɾʲ
Fine Gael,,ˌfʲɪnʲə ˈɡeːlˠ
bídh,Munster,bʲiːɟ
máthair,Connacht,ˈmˠãːhəɾʲ
abláil,Munster,əbˠəˈl̪ˠɑːlʲ
áitíonn,Connacht,ˈɑːtʲiːn̪ˠ
imir,,ˈɪmʲəɾʲ
sagairt,Cois-Fharraige,ˈsˠæɡəɾˠtʲ
spéis,,sˠpʲeːʃ
nuaghinte,,ˈn̪ˠʊʝɪnʲtʲə
flichne,Ulster,ˈfʲlʲɨ̞hnu
taispeáin,Cois-Fharraige,"t̪ˠəˈsˠpˠɑːnʲ, ˈsˠpˠɑːnʲ"
ging,,ɟɪɲ
canáil,Connacht,ˈkanˠɑːlʲ
gort,Munster,ɡʌɾˠt̪ˠ
