,word,tags,ipa,results
3426,gadhar,Munster; Connacht,"ˈɡai(ə)ɾˠ, ˈɡəi(ə)ɾˠ",gəiəɾˠ
3427,gae,,ɡeː,geː
3429,gafann,,ˈɡafˠən̪ˠ,gafˠən̪ˠ
3431,gaimbín,Ulster; Connacht,ˈɡamʲbʲiːnʲ,gaimʲən̪
3432,gainimh,,ˈɡɑnʲəvʲ,gain̪iː
3433,gainne,,ˈɡɪn̠ʲə,gain̠ʲə
3434,gair,,ɡaɾʲ,gɑːɾʲ
3435,gair,Connacht,ɡɛɾʲ,gɑːɾʲ
3436,gairdín,Connacht,ˈɡɑːɾˠdʲiːnʲ,gaiɾʲdʲən̪
3438,gairge,,ˈɡaɾʲɪɟə,gaiɾʲɟi
3439,gairid,Connacht,ˈɡaɾʲədʲ,gaiɾʲidʲ
3442,gairm,Connacht,ˈɡeɾʲəmʲ,gɑːɾʲmˠ
3443,gairme,,ˈɡaɾʲəmʲə,gaiɾʲmʲi
3445,gairmiúil,Connacht,ɡaɾʲmʲuːlʲ,gaiɾʲmʲiəl̪
3446,gairmiúlacht,,ɡaɾʲˈmʲuːl̪ˠəxt̪ˠ,gaiɾʲmʲiəl̪əxt̪
3447,gairmiúlaigh,,ɡaɾʲmʲuːl̪ˠiː,gaiɾʲmʲiəl̪ə
3448,gais,,ɡaʃ,gaiʃ
3449,gaisce,,ˈɡaʃcɪ,gaiʃci
3452,gaiste,,ˈɡaʃtʲə,gaiʃtʲi
3453,gala,,ˈɡal̪ˠə,gal̪ə
3457,gallán,Connacht,"ˈɡal̪ˠɑːnˠ, ˈɡal̪ˠɑːn̪ˠ",gal̪ˠən̪
3456,gallán,,,gal̪ˠən̪
3459,galán,Connacht,"ˈɡalˠɑːnˠ, ˈɡal̪ˠɑːn̪ˠ",gal̪ən̪
3458,galán,,,gal̪ən̪
3460,galánta,Connacht,"ˈɡalˠɑːn̪ˠt̪ˠə, ˈɡal̪ˠɑːn̪ˠt̪ˠə",gal̪ən̪t̪ə
3461,galúin,Connacht,ˈɡalˠuːnʲ,gal̪ən̪
3462,galún,Connacht,ˈɡalˠuːnˠ,gal̪ən̪
3463,gamal,,"ˈɡamˠəlˠ, ˈɡamˠəl̪ˠ",gamˠəl̪
3464,gamhain,,ˈɡãuənʲ,gəuəən̪
3465,gan,,"ɡənˠ, ɡən̪ˠ",gan̪
3466,gaobhar,Ulster; Connacht,ˈɡiːwəɾˠ,giːvˠəɾˠ
3467,gaofar,Ulster; Connacht,"ˈɡiːfˠəɾˠ, ˈɡɯːfˠəɾˠ",giːfˠəɾˠ
3468,gaoith,,ɡiːh,giːç
3469,gaol,Ulster; Connacht,ɡiːlˠ,giːl̪
3470,gaosán,Connacht,ˈɡiːsˠɑːnˠ,giːsˠən̪
3471,gaoth,Ulster; Connacht,"ɡiː, ɡɯː",giː
3472,gaothrán,Connacht,ˈɡiːɾ̥ˠɑːn̪ˠ,giːhɾˠən̪
3474,garanna,,ˈɡaɾˠən̪ˠə,gaɾˠən̪ˠə
3475,garda,Munster; Connacht,ˈɡɑːɾˠd̪ˠə,gaɾˠd̪ə
3476,gardaí,Connacht,ˈɡɑːɾˠd̪ˠiː,gaɾˠd̪ə
3477,garg,,ˈɡaɾˠəɡ,gaɾˠəg
3478,garga,,ˈɡaɾˠəɡə,gaɾˠgə
3479,gariníon,,ˈɡaɾʲˌɪnʲiːnˠ,gaɾʲən̪ən̪
3480,garmhac,,ˈɡaɾˠˌwak,garvˠək
3482,garraithe,,ˈɡɑɾˠɪhə,gaɾˠəhə
3483,garraí,Connacht,"ˈɡaɾˠiː, ˈɡɑɾˠiː",gaɾˠə
3484,garsún,Connacht,ˈɡaɾˠsˠuːnˠ,gaɾˠsˠən̪
3485,gasra,Ulster; Connacht,ˈɡasˠɾˠə,gasˠɾˠə
3486,gasta,,ˈɡasˠt̪ˠə,gasˠt̪ə
3488,gasúir,Connacht,ˈɡasˠuːɾʲ,gasˠiɾʲ
3489,gasúr,Connacht,ˈɡasˠuːɾˠ,gasˠəɾˠ
3490,gc,,"ɟ, ɡ",g
3491,gcabhair,,,gəuəəɾˠ
3492,gcailín,Connacht,ˈɡalʲiːnʲ,gail̪ən̪
3495,gcanna,,"ˈɡan̪ˠə, ˈɡɑn̪ˠə",gan̪ˠə
3497,gcaogad,Ulster; Connacht,ˈɡiːɡəd̪ˠ,giːgəd̪
3498,gcaogaidí,Connacht,ˈɡiːɡədʲiː,giːgəd̪ə
3499,gcaoi,,ɡiː,giː
3500,gcaoimhe,Ulster; Connacht,ˈɡiːvʲə,giːvʲə
3502,gcara,,ˈɡɑɾˠə,gaɾˠə
3503,gcarachtar,,ˈɡaɾˠəxt̪ˠəɾˠ,gaɾˠəxt̪əɾˠ
3504,gcaraid,,"ˈɡaɾˠədʲ, ˈɡɑɾˠədʲ",gaɾˠəd̪
3505,gcatach,Connacht,ˈɡat̪ˠəx,gat̪əx
3506,gcathair,,"ˈɡahəɾʲ, ˈɡɑhəɾʲ",gahəɾˠ
3509,gceantar,,ˈɟan̪ˠt̪ˠəɾˠ,gan̪t̪əɾˠ
3510,gcearnóg,Connacht,ˈɟɑːɾˠn̪ˠoːɡ,gaɾˠn̪əg
3511,gceart,,ɟaɾˠt̪ˠ,gɑːɾˠt̪
3513,gceilt,Ulster; Connacht,ɟɛl̠ʲtʲ,gɛl̪t̪
3512,gceilt,,,gɛl̪t̪
3514,gceist,,ɟɛʃtʲ,gɛsˠt̪
3515,gceárta,Connacht,ˈɟɑːɾˠt̪ˠə,gaɾˠt̪ə
3516,gceártaí,Connacht,ˈɟɑːɾˠt̪ˠiː,gaɾˠt̪ə
3518,gciliméadar,Connacht,"ˈɟɪlʲəmʲed̪ˠəɾˠ, ˈɟɪlʲəmʲeːd̪ˠəɾˠ",gɪl̪əmˠidʲiɾʲ
3520,gcis,,ɟɪʃ,gɪsˠ
3523,gclóis,,"ɡlˠoːʃ, ɡl̪ˠoːʃ",gl̪ɔsˠ
3524,gcodanna,,ˈɡɔd̪ˠən̪ˠə,gʊd̪ʊ̽n̪ˠʊ̽
3527,gcoillte,Connacht,"ˈɡəil̠ʲtʲə, ˈɡɞl̠ʲtʲə",gɔl̠ʲtʲi
3529,gcol,,ɡɔlˠ,gʊl̪
3530,gcolanna,,ˈɡɔlˠən̪ˠə,gʊl̪ʊ̽n̪ˠʊ̽
3531,gcomhluadar,Munster; Connacht,ˈɡoːlˠuəd̪ˠəɾˠ,gʊvˠl̪idʲʊ̽ɾˠ
3533,gcreach,,ɟɾʲax,gɾˠæx
3534,gcroí,,ɡɾˠiː,gɾˠɔ
3535,gcuairt,,ɡuəɾˠtʲ,guaəɾˠt̪
3537,gcuan,,ɡuənˠ,guan̪
3538,gcuid,,ɡɪdʲ,gɪd̪
3539,gcuireann,,ˈɡɪɾʲən̪ˠ,gɪɾˠən̪ˠ
3540,gcurach,Connacht,"ˈɡɔɾˠəx, ˈɡʊɾˠəx",gʊɾˠʊ̽x
3541,gcás,Munster; Connacht,ɡɑːsˠ,gasˠ
3543,gcéadta,,ˈɟeːt̪ˠə,gad̪ə
3545,gcónaí,Connacht,ˈɡuːn̪ˠiː,gʊn̪ʊ̽
3546,gcósta,Munster; Connacht,ˈɡoːsˠt̪ˠə,gʊsˠt̪ʊ̽
3547,gcóstaí,Connacht,ˈɡoːsˠt̪ˠiː,gʊsˠt̪ʊ̽
3548,gcúinne,,ˈɡuːn̠ʲə,gɪn̠ʲə
3583,geimhreadh,Galway; Connacht,ˈɟiːvʲɾʲə,geimhreadh
3582,geimhreadh,Connacht,"ˈɟĩvʲɾʲuː, ˈɟɛvʲɾʲu",geimhreadh
3584,geimhreadh,Mayo; Connacht,ˈɟivʲɾʲuː,geimhreadh
3585,geimhriú,Connacht,ɟiːvʲɾʲuː,geimhriú
3586,geimhriúchán,Connacht,ˈɟiːvɾʲuˌxɑːn̪ˠ,geimhriúchán
3587,geimhrí,Connacht,"ˈɟivʲɾʲiː, ˈɟiːvʲɾʲiː, ˈɟĩvʲɾʲiː, ˈɟɛvʲɾʲiː",geimhrí
3626,ghleanna,Connacht,"ˈjlʲaːn̪ˠə, ˈʝlʲaːn̪ˠə",ɣl̪an̪ˠə
3628,ghlinne,,ˈjlʲin̠ʲə,ɣl̪ɪn̠ʲə
3629,ghliocacht,,"ˈjlʲɪkəxt̪ˠ, ˈʝlʲɪkəxt̪ˠ",ɣl̪ɪkəxt̪
3630,ghliocais,,ˈjlʊkəʃ,ɣl̪ɪkəsˠ
3633,ghnách,Connacht,"ɡɾˠɑːx, ɣnˠɑːx",ɣn̪ax
3634,ghnáth,,,ɣn̪a
3636,ghním,Connacht,n̠ʲiːmʲ,ɣn̪ɪmˠ
3648,ghread,,jɾʲad̪ˠ,ɣɾˠad̪
3649,ghrian,Ulster; Connacht,"jɾʲiənˠ, ʝɾʲiənˠ",ɣɾˠiən̪
3650,ghrian,Ulster; Munster; Connacht,"jɾʲiən̪ˠ, ʝɾʲiən̪ˠ",ɣɾˠiən̪
3651,ghrá,,,ɣɾˠa
3688,glacann,,ˈɡlˠakən̪ˠ,gl̪akən̪ˠ
3689,glacfaidh,,ˈɡlˠakə,gl̪akfˠə
3690,glaine,,"ˈɡlˠanʲə, ˈɡl̪ˠanʲə",gl̪ain̪ə
3693,glan,,"ɡlˠanˠ, ɡlˠɑnˠ, ɡl̪ˠan̪ˠ",gl̪an̪
3694,glantóir,Connacht,"ˈɡlˠan̪ˠt̪ˠoːɾʲ, ˈɡl̪ˠan̪ˠt̪ˠoːɾʲ",gl̪an̪t̪iɾʲ
3695,glaodh,Ulster; Connacht,ɡlˠiː,glʲiːɣ
3696,glasa,,ˈɡlˠasˠə,gl̪asˠə
3697,glasóg,Connacht,"ˈɡlˠasˠoːɡ, ˈɡl̪ˠasˠoːɡ",gl̪asˠəg
3698,gleanna,Connacht,ˈɟlʲaːn̪ˠə,gl̪an̪ˠə
3699,gleannta,Connacht,ˈɟlʲaːn̪ˠt̪ˠə,gl̪an̪ˠt̪ə
3700,gleo,Munster; Connacht,ɟlʲoː,gl̪oː
3701,gleoite,,ˈɟlʲoːtʲə,gl̪oːtʲi
3702,gleomhar,Connacht,ˈɟlʲoːvˠəɾˠ,gl̪oːvˠəɾˠ
3703,glic,,ɟlʲɪc,gl̪ɪc
3705,gliceas,,ˈɟlʲɪcəsˠ,gl̪ɪcəsˠ
3706,glinn,,ˈɟlʲin̠ʲ,gl̪ɪn̠ʲ
3707,glinne,,ˈɟlʲin̠ʲə,gl̪ɪn̠ʲə
3709,gliocais,,ˈɟlʊkəʃ,gl̪ɪkiʃ
3710,gliocas,,ˈɟlʊkəsˠ,gl̪ɪkəsˠ
3711,gliogaire,,ˈɟlʲɯɡəɾʲə,gl̪ɪgiɾʲi
3712,gliogar,,ˈɟlʲɪɡəɾˠ,gl̪ɪgəɾˠ
3713,gliú,,ɟlʲuː,gl̪ɪə
3714,gliú beach,,ˌɟlʲuː ˈbʲax,gl̪ɪə bʲæx
