tags,ipa,word,tags_
,/ˈalˠ(ə)ɡə/,alga,
,/ˈanˠəsˠ/,anas,
,/bˠɾˠad̪ˠ/,brad,
Munster Irish; Munster Irish,/kaumˠ/,cam,
Munster Irish,/koumˠ/,cam,
Connacht Irish,/kɑːmˠ/,cam,
Connacht Irish; Ulster Irish,/kamˠ/,cam,
,/ˈkan̪ˠə/,canna,
,/ˈkɑn̪ˠə/,canna,
,/cɛlʲ/,ceil,
Connacht Irish; Munster Irish,/kʊɾˠ/,cur,
Ulster Irish,/kʌɾˠ/,cur,
,/d̪ˠɾˠɪdʲ/,druid,
Connacht Irish,/d̪ˠɾˠɛdʲ/,druid,
Connacht Irish,/ˈd̪ˠɞɾˠədʲ/,druid,Ulster Irish
Munster Irish,/ˈfˠɞkəl̪ˠ/,focal,
Munster Irish,/ˈfˠɔkəl̪ˠ/,focal,
Connacht Irish; Ulster Irish,/ˈfˠɔkəlˠ/,focal,
Connacht Irish; Ulster Irish,/ˈfˠɔkəl̪ˠ/,focal,
,[ˈɡal̪ˠə],gala,
Connacht Irish,/ɡɑ(ː)l̪ˠ/,gall,
Connacht Irish,/ɡɑːl̪ˠ/,gall,
Ulster Irish,/ɡal̪ˠ/,gall,
,/ˈɪɾʲəʃ/,iris,
Munster Irish,/mˠɑɾˠk/,marc,
Connacht Irish; Ulster Irish,/mˠaɾˠk/,marc,
,/ˈmʲɪɾʲə/,mire,
Ulster Irish,/mˠʌl̪ˠ/,moll,
,[ˈpˠasˠ],pas,
,[pˠɔlˠ],pol,
Munster Irish,/sˠl̪ˠɑt̪ˠ/,slat,
Connacht Irish,/sˠlɑt̪ˠ/,slat,
Connacht Irish,/sˠl̪ˠat̪ˠ/,slat,
Connacht Irish,[sˠl̪ˠaːt̪ˠ],slat,
Connacht Irish; Ulster Irish,/sˠl̪ˠat̪ˠ/,slat,
Munster Irish,/sˠɞpˠ/,sop,
Ulster Irish,/sˠapˠ/,sop,
,/ˈt̪ˠapˠə/,tapa,
Ulster Irish,/ˈt̪ˠapˠuː/,tapa,
,/ˈtʲɪnʲə/,tine,
Ulster Irish,/ˈtʲɪnʲi/,tine,
Munster Irish,/t̪ˠɞlʲ/,toil,
Connacht Irish,/t̪ˠɪlʲ/,toil,
Ulster Irish,/t̪ˠɔlʲ/,toil,
,/bˠalʲ/,bail,
,[xaɾˠ],char,Ulster Irish
Munster Irish,/mˠɑul̪ˠ/,mall,
Connacht Irish,/mˠɑːl̪ˠ/,mall,
Connacht Irish,/mˠal̪ˠ/,mall,
Ulster Irish,/mˠal̪ˠ/,mall,
,/ˈpʲɪcɪ/,pice,
,/sˠn̪ˠaɡ/,snag,
,/sˠt̪ˠadʲ/,staid,
,/ˈsˠɪtʲə/,suite,
Connacht Irish; Munster Irish,/t̪ˠɑɾˠt̪ˠ/,tart,
Connacht Irish; Connacht Irish; Ulster Irish,/t̪ˠaɾˠt̪ˠ/,tart,
,/ˈtʲɪhɪ/,tithe,
Connacht Irish,/ˈtʲiː/,tithe,
Ulster Irish,/ˈt̪ˠɪhə/,tithe,
,/fʲɪɾʲ/,fir,
,[cɪʃ],cis,
Connacht Irish; Munster Irish,/bˠɑk/,bac,
Connacht Irish; Connacht Irish; Ulster Irish,/bˠak/,bac,
,/t̪ˠəɾˠ/,-tar,
,/ˈeːɾʲə/,Éire,
,[ˈpʲiən̪ˠt̪ˠə],pianta,
,/t̪ˠɛɾʲ/,toir,
,/ʃan̪ˠ/,sean,
,/ʃanˠ/,sean,
Connacht Irish,/ʃæːn̪ˠ/,sean,
,/ˈal̪ˠə/,alla,
Connacht Irish; Munster Irish,/ɾˠoː/,ró,
Ulster Irish,/ɾˠɔː/,ró,
,/ˈkanˠə/,cana,
Connacht Irish; Munster Irish,/bˠɑː/,bá,
Ulster Irish,/bˠaː/,bá,
Ulster Irish,/ˈbˠaːhuː/,bá,
Connacht Irish; Munster Irish,/n̪ˠɔd̪ˠ/,nod,
Ulster Irish,/n̪ˠʌd̪ˠ/,nod,
Munster Irish,/sˠl̪ˠɔɡ/,slog,
Munster Irish,/sˠl̪ˠoɟ/,slog,
Connacht Irish,/sˠl̪ˠuɡ/,slog,
Connacht Irish,/ˈsl̪ˠiɟ/,slog,
Ulster Irish,/sˠl̪ˠʌɡ/,slog,
Connacht Irish,/fˠɾˠoːbˠ/,freo,
,[pˠɔsˠt̪ˠ],post,
Munster Irish,/pˠɑul̪ˠ/,poll,
Munster Irish,[pˠɔul̪ˠ],poll,
Connacht Irish,/pˠɑul̪ˠ/,poll,
Ulster Irish,/pˠʌl̪ˠ/,poll,
Connacht Irish; Munster Irish,/sˠt̪ˠɑd̪ˠ/,stad,
Connacht Irish; Connacht Irish; Ulster Irish,/sˠt̪ˠad̪ˠ/,stad,
,/ˈfˠaɾˠə/,fara,Munster Irish
Connacht Irish; Munster Irish,/ˈɡɑːɾˠd̪ˠə/,garda,
Ulster Irish,/ˈɡaːɾˠd̪ˠə/,garda,
,/ʃɪnʲ heːnʲ/,Sinn Féin,General Irish
,/ʃɪnʲ fʲeːnʲ/,Sinn Féin,General Irish
Connacht Irish; Munster Irish,/d̪ˠɑːlʲ/,dáil,
Ulster Irish,/d̪ˠaːlʲ/,dáil,
Connacht Irish; Munster Irish,[ˈt̪ˠiːʃəx],Taoiseach,
Ulster Irish,[ˈt̪ˠiːʃax],Taoiseach,
Ulster Irish,[ˈt̪ˠiːʃah],Taoiseach,
Munster Irish,/ˈt̪ˠɑːn̪ˠəʃtʲə/,tánaiste,
Connacht Irish,/ˈt̪ˠɑːnˠəʃtʲə/,tánaiste,
Ulster Irish,/ˈt̪ˠaːnˠəʃtʲə/,tánaiste,
Connacht Irish; Munster Irish,/mʲɪlʲ/,mil,
Ulster Irish,/mʲɨ̞lʲ/,mil,
