tags	ipa	word
Connacht 	/ˈkuːl̪ˠiː/	cúlaí
Connacht 	/ɡɑ(ː)l̪ˠ/	gall
Connacht ; Connacht ; Ulster 	/ˈasˠəmˠ/	asam
Connacht 	/ax/	ach
Connacht ; Connacht 	/ˈpˠɑːɾˠɪc/	Pádraig
Connacht 	/ˈʊɡəd̪ˠ/	agad
Connacht 		d'inseodh
Connacht 	/ˈaxənʲiː/	achainí
Connacht ; Munster 	/ˈkon̪ˠəxt̪ˠəx/	Connachtach
Connacht 	/ˈsˠmˠoːlˠəx/	smólach
Connacht ; Munster 	/ˈɡɑːɾˠd̪ˠə/	garda
Connacht 	/ˈɡɞlʲə/	goile
Connacht ; Munster 	/koːɾʲ/	cóir
Connacht 	/ˈænʲə/	aithnigh
Connacht 	/ˈɛcɪʃə/	chuicise
Connacht 	/æn/	aithin
Connacht 	/ɡɾˠiːn̠ʲ/	gcrainn
Connacht ; Munster 	/ˈɟɪbʲə/	gibe
Connacht 	/ˈmʲɛlʲuː/	meileadh
Connacht 	/ˈɡɾˠɑːn̠ʲə/	gráinne
Connacht 	/ˈbˠæn̠ʲə/	bainne
Connacht 	/bʲiːn̠ʲ/	binn
Connacht 	/ˈɔpˠt̪ˠəx/	optach
Connacht 	/ˈtʲɾʲʊbˠl̪ˠoːdʲ/	trioblóid
Connacht 	/d̪ˠuə/	d'fhuaigh
Connacht 	/ˈfʲɾʲaɡɾˠuː/	freagairt
Connacht 	/bʲɑːn̪ˠ/	beann
Connacht 	/kl̪ˠuː/	clúmh
Connacht 	/ˈbˠʊnˠˌɑːwəɾˠ/	bunábhar
Connacht 	/ˈl̪ˠɛtʲəx/	loiteach
Connacht 	/ˈæːɾʲəɟədʲ/	airgid
Connacht 	/ˈkalʲiːnʲ/	cailín
Connacht 	/ˈæhəʃəx/	aithiseach
Connacht 	/ˈiːn̪ˠt̪ˠəx/	iontach
Connacht ; Connacht 	[ˈɑɡiː]	agaibh
Connacht 	[ˈuːŋkəlʲəxiː]	uncaileacha
Connacht ; Ulster ; Connacht 	[ˈmˠaːsˠl̪ˠuː]	maslú
Connacht 	/t̪ˠiːvˠ/	taobh
Connacht 	/ˈmˠaɾˠiː/	maraí
Connacht ; Connacht 	/ˈkuːɾˠə/	comhartha
Connacht 	/ˈad̪ˠ/	agat
Connacht 	/ˈsl̪ˠiɟ/	slog
Connacht ; Munster 	/ˈkɑsˠə/	casa
Connacht 	/əˈciːn̠ʲ/	éigin
Connacht 	/ˈbʲiːnʲʃə/	binse
Connacht 	/ˈɟal̪ˠəkɑːn̪ˠ/	gealacán
Connacht ; Connacht 	/mˠɾˠɑː/	mná
Connacht 	/ˈsˠʊn̪ˠə/	sona
Connacht ; Munster 	/ˈt̪ˠɔɡəɾʲ/	togair
Connacht ; Connacht 	/cin̪ˠ/	cion
Connacht 	/ˈdʲɛʃtʲə/	d'fheistigh
Connacht 	/ɾˠiːn̠ʲtʲ/	roinnt
Connacht 	/ˈʃuːlˠoːdʲ/	siúlóid
Connacht 	/ˈkl̪ˠɑɾˠəxiː/	cláracha
Connacht ; Ulster 	/ˈkuːn̪ˠuː/	cúnamh
Connacht 	/ˈaɾˠə/	athraigh
Connacht 	/ˈl̠ʲæpˠəxiː/	leapacha
Connacht 	/ˌɑːɾˠd̪ˠˈæsˠpˠəɡ/	ardeaspag
Connacht 	/ˈmˠɪnʲəxɑːn̪ˠ/	Muineachán
Connacht ; Ulster 	/n̠ʲax/	neach
Connacht 	/ˈɪl̠ʲə/	uille
Connacht ; Ulster 	/tʲiː/	tigh
Connacht 	/ˈkɪn̠ʲl̠ʲəx/	coinleach
Connacht ; Connacht ; Ulster 	/ɡal̪ˠ/	gal
Connacht 	/ˈdʲaɾˠəɡəx/	deargadh
Connacht 	/ˈkɪn̠ʲə/	coinnigh
Connacht 	/ˈmʲal̪ˠəx/	mealladh
Connacht 	/ˈfʲeːçuː/	féicheamh
Connacht ; Ulster 	/d̪ˠal̪ˠ/	dall
Connacht 	/ˈfˠɑːɡətʲ/	fágadh
Connacht 	/ɾˠiːn̠ʲ/	roinn
Connacht 	[ˈdʲæːɾˠəmˠəd̪ˠ]	dearmad
Connacht 	/ˈmˠɪɾʲiːnʲ/	muirín
Connacht 	/ˈɑːn/	an-
Connacht ; Ulster 	/ən̠ʲˈtʲuːɾˠ/	Iúr
Connacht 	/hɾʲiːbʲ/	thríbh
Connacht 	/ˈbˠɑːsˠiː/	básaithe
Connacht 	/ˈkɑfʲiː/	caife
Connacht 	/ˈd̪ˠɛɾʲuː/	doireadh
Connacht 	/ˈuːnʲeːɾˠə/	úinéara
Connacht 	/ˈd̪ˠɞɾʲʃə/	doirse
Connacht 	/ˈcnʲiːpˠəɾʲə/	cníopaire
Connacht 	/ˌkɑːɾˠ ˈpat̪ˠɾˠoːl̠ʲ/	carr patróil
Connacht ; Ulster 	/ˈl̪ˠuəxwəɾˠ/	luachmhar
Connacht 	/ˈciəɾˠɑːnˠ/	Ciarán
Connacht 	/ˈmˠãːhəɾʲ/	máthair
Connacht 	/mʲæh/	meá
Connacht ; Munster 	/ˈkatʲlʲɪcəx/	Caitliceach
Connacht ; Connacht 	/ˈt̪ˠaːl̪ˠə/	talamh
Connacht 	/ˈʃiːnʲətʲ/	síneadh
Connacht 	/ˈcan̪ˠə/	ceannaigh
Connacht 	/ˈkɾˠɔsˠɑːlʲ/	crosáil
Connacht 	/ˈdʲɛcətʲ/	d'fheicfeadh
Connacht 	/ˈəiɾʲiː/	éirí
Connacht 	/ˈɪlʲɑːnʲ/	oileáin
Connacht 	/ˈæɾˠə/	athraigh
