word,tags,ipa,results
Fhranca,,ˈɾˠaŋkə,fˠhɾˠan̪kə
Fianna Fáil,,ˈfʲiən̪ˠə ˈfˠɑːlʲ,fʲiən̪n̪ə fʲail̪
Fine Gael,,ˌfʲɪnʲə ˈɡeːlˠ,fʲɪn̪ə ɟeːl̪
Fionlainn,,ˈfʲɪnlˠən̠ʲ,fˠɪn̪l̪əən̠ʲ
Fionlainnis,,ˈfʲɪn̪ˠl̪ˠən̠ʲɪʃ,fˠɪn̪l̪ən̪n̪iʃ
Fionlainnise,,ˈfʲɪn̪ˠl̪ˠən̠ʲɪʃə,fˠɪn̪l̪ən̪n̪iʃi
Fionnabhair,,ˈfʲɪn̪ˠuːɾʲ,fˠɪn̪n̪ibʲçiɾʲ
Fionnghall,,fʲuːnɣal,fˠɪn̪n̪ghəl̪l̪
Fionnghuala,,fʲɪn̪ˠˈuːəlˠə,fˠɪn̪n̪ghəl̪ə
Frainc,Ulster; Connacht,fˠɾˠæɲc,fɾʲaink
Fraince,Ulster; Connacht,ˈfˠɾˠæɲcɪ,fɾʲainci
Fraincis,,ˈfˠɾˠaɲcɪʃ,fɾʲainciʃ
Franc,,ˈfˠɾˠaŋk,fˠɾˠank
Franca,,ˈfˠɾˠaŋkə,fˠɾˠan̪kə
Fínín,Connacht,ˈfʲiːnʲiːnʲ,fʲɪn̪ən̪
Fíníneachas,Connacht,ˈfʲiːnʲiːnʲəxəsˠ,fʲɪn̪ən̪əkhəsˠ
Fódhla,,"ˈfˠoːlˠə, ˈfˠoːl̪ˠə",fˠʊd̪hl̪ʊ̽
Fórsa Cosanta Áitiúil,,ˈfˠoːɾˠsˠə ˈkɔsˠən̪ˠt̪ˠə ˈaːtʲuːlʲ,fˠʊɾˠsˠʊ̽ kʊsˠʊ̽n̪t̪ʊ̽ aitʲiəl̪
Gaedhilge,,ˈɡeːlʲɟə,ɟeːdʲçəlɟi
Gaedhlaing,,ˈɡeːlɪɲ,ɟeːdʲhl̪əng
Gaeil,,ɡeːlʲ,ɟeːəl̪
Gaeilge na hAlban,,"ˈɡeːlʲɟɪ nˠə ˈhalˠəbˠənˠ, ˈɡeːlʲɟɪ n̪ˠə ˈhal̪ˠəbˠən̪ˠ",ɟeːəlɟi n̪a hal̪bˠən̪
Gaeilge na hÉireann,,"ˈɡeːlʲɟɪ nˠə ˈheːɾʲən̪ˠ, ˈɡeːlʲɟɪ n̪ˠə ˈheːɾʲən̪ˠ",ɟeːəlɟi n̪a çɛɾʲən̪ˠ
Gaeilic,,ˈɡeːlʲic,ɟeːəl̪ic
