word,tags,ipa,results
Malaeis,,"mˠaˈlˠeːɪʃ, ˈmˠalˠeːɪʃ",mˠɑl̪eːiʃ
Manainnis,,ˈmˠanˠən̠ʲɪʃ,mˠɑn̪ən̪n̪iʃ
Mhuire,Ulster; Connacht,ˈwɪɾʲə,mˠhɪɾʲi
Mháire,Connacht,ˈwɑːɾʲə,mʲçaiɾʲi
Muire,,ˈmˠɪɾʲə,mˠɪɾʲi
Muirís,,ˈmˠɪɾʲiːʃ,mˠɪɾʲiʃ
Máire,Munster; Connacht,ˈmˠɑːɾʲə,mʲaiɾʲi
Máirtín,Connacht,ˈmˠɑːɾˠtʲiːnʲ,mʲaiɾʲtʲən̪
Neipeailis,,ˈn̠ʲɛpʲalʲɪʃ,n̪ɛpʲəl̪iʃ
Nioclás,,ˈn̠ʲɪklˠaːsˠ,n̪ɪkl̪əsˠ
Ruairí,,ˈɾˠuəɾʲiː,ɾʲuaiɾʲi
Sasana Nua,,ˌsˠasˠənˠə ˈn̪ˠuə,sˠɑsˠən̪ə n̪ua
Seoighe,,ˈʃoːjə,ʃoːiɟçi
Seáinín,Connacht,ˈʃɑːnʲiːnʲ,ʃain̪ən̪
Shamhain,Connacht,"həunʲ, ˈhɑvˠən",sˠhɑmʲçən̪
Sionainn,,ˈʃɪnˠən̠ʲ,sˠɪn̪əən̠ʲ
Stiofáin,Connacht,ˈʃtʲʊfˠɑːnʲ,sˠt̪ɪfʲən̪
Stiofán,Connacht,"ˈʃtʲʊfˠɑːnˠ, ˈʃtʲʊfˠɑːn̪ˠ",sˠt̪ɪfˠən̪
Tadhg,Munster; Connacht,t̪ˠai(ə)ɡ,t̪ɑd̪hg
Tiarna,,ˈtʲiəɾˠn̪ˠə,tʲiəɾˠn̪ə
a chairde,Munster; Connacht,ə ˈxɑːɾˠdʲə,ɑ cçaiɾʲdʲi
abhna,,ˈoːn̪ˠə,ɑbˠhn̪ə
abraid,,ˈabˠɾˠədʲ,ɑbɾʲidʲ
adharca,,ˈəi(ə)ɾˠkə,ɑd̪həɾˠkə
aeróstach,Connacht,ˈeːɾˠˌoːsˠt̪ˠəx,eːɾˠəsˠt̪əx
agaibh,Connacht,"ˈaɡiː, ˈoɡiː, ˈuɡiː",ɑɟibʲ
agaibh,Mayo; Connacht,əɡiː,ɑɟibʲ
agóid,Connacht,ˈaɡoːdʲ,ɑɟidʲ
aici,Connacht,"ˈɛciː, ˈɛcə",aici
aiféala,,ˈafʲeːlˠə,aifʲəl̪ə
ail,,alʲ,ail̪
aitheantas,,ˈahən̪ˠt̪ˠəsˠ,aitʲçən̪t̪əsˠ
alt,,al̪ˠt̪ˠ,ɑl̪t̪
amadán,Galway; Connacht,ˈamˠəd̪ˠɑːn̪ˠ,ɑmˠəd̪ən̪
amadána,,"aməˈdɑːnə, ˈamədɑːnə",ɑmˠəd̪ən̪ə
anglaise,,ˈaŋɡləʃə,ɑn̪gl̪iʃi
aonraic,,ˈeːn̪ˠɾˠɪc,ɑənɾʲic
aos,Ulster; Connacht,iːsˠ,ɑəsˠ
aosán,Connacht,"ˈiːsˠɑːnˠ, ˈiːsˠɑːn̪ˠ",ɑəsˠən̪
ar a fhad,,əɾʲˈad̪ˠ,ɑːɾˠ ɑ fˠhɑd̪
ar a laghad,Munster; Connacht,ˌɛɾʲəˈl̪ˠəid̪ˠ,ɑːɾˠ ɑ l̪ɑghəd̪
ar ais,,ɛɾʲˈaʃ,ɑːɾˠ aiʃ
ar aon chaoi,,ɛɾʲ eː ˈxiː,ɑːɾˠ ɑən̪ cçæə
ar bord,,ɛɾʲ ˈbˠoːɾˠd̪ˠ,ɑːɾˠ bˠəuɾˠd̪
ar cuaird,,ɛɾʲ ˈkuəɾˠdʲ,ɑːɾˠ cuaiɾʲd̪
ar maidin,,ɛɾʲ ˈmˠadʲənʲ,ɑːɾˠ mʲaidʲən̪
ar oscailt,,ɛɾʲ ˈɔsˠkɪlʲtʲ,ɑːɾˠ ɔscəl̪t̪
ar scáth a,Connacht,ɛɾʲˈsˠkɑː(ə),ɑːɾˠ sˠkɑt ɑ
ar son,Connacht,ɛɾʲˈsˠʊnˠ,ɑːɾˠ sˠɔn̪
araon,Munster; Connacht,"əˈɾˠeːnˠ, əˈɾˠeːn̪ˠ",ɑɾˠəən̪
arú amárach,,əɾˠuːˈmˠɑːɾˠəx,ɑɾˠə ɑmˠəɾˠəx
as,,asˠ,ɑsˠ
as cosa i dtaca,,əsˠ ˌkɔsˠə ˈd̪ˠɑkə,ɑsˠ kɔsˠə ɪ d̪t̪ɑkə
asainne,,ˈasˠən̠ʲə,ɑʃən̪n̪ə
ata,,ˈat̪ˠə,ɑt̪ə
athar,,ˈahəɾˠ,ɑt̪həɾˠ
b',,"bʲ, bˠ",bʲ
bacaí,Connacht,ˈbˠakiː,bˠɑci
bagairt,,ˈbˠaɡəɾˠtʲ,bˠɑɟiɾʲt̪
bagáiste,Connacht,ˈbˠaɡɑːʃtʲə,bˠɑɟiʃtʲi
bainte,,"ˈbˠan̠ʲtʲə, ˈbˠɪn̠ʲtʲə",bʲaintʲi
baisc,,bˠaʃc,bʲaiʃk
ballach,Connacht,ˈbˠal̪ˠəx,bˠɑl̪l̪əx
balsamach,Connacht,ˈbˠalˠsˠəmˠəx,bˠɑl̪sˠəmˠəx
bandach,Connacht,ˈbˠan̪ˠd̪ˠəx,bˠɑn̪d̪əx
barrach,,ˈbˠaɾˠəx,bˠɑɾˠɾˠəx
bas,,bˠasˠ,bˠɑsˠ
beacha,,ˈbʲaxə,bʲɑkhə
beimid,,ˈbʲɛmʲədʲ,bʲɛmʲədʲ
beire,,ˈbʲɛɾʲə,bʲɛɾʲi
beirigí,,ˈbʲɛɾʲɪɟiː,bʲɛɾʲiɟi
beirtear,,ˈbʲɛɾˠtʲəɾʲ,bʲɛɾʲtʲəɾˠ
beithíoch,Connacht,ˈbʲɛhiəx,bʲɛt̪hək
beo,Munster; Connacht,bʲoː,bʲoː
bh,,"vʲ, w",b
bhFionlainnis,,ˈvʲɪn̪ˠl̪ˠən̠ʲɪʃ,bˠhfˠɪn̪l̪ən̪n̪iʃ
bharr,Connacht,wˠɑːɾˠ,bˠhɑɾˠɾˠ
