bhlas	vˠlˠasˠ
méar coise	mʲeːɾˠ ˈkɛʃə
táille	ˈt̪ˠɑːlˠə
fiúntach	ˈfʲuːn̪ˠt̪ˠəx
ghéaraigh	ˈjeːɾˠə
ó dheas	oː ˈjasˠ
haer	heːɾˠ
bainne	ˈbˠan̪ˠə
mbrise	ˈmʲɾʲɪʃə
déanaim	ˈdʲeːn̪ˠəmʲ
gainne	ˈɡan̪ˠə
ghlic	lʲɪc
mura	ˈmˠʊɾˠə
coscair	ˈkɔsˠkəɾʲ
ceachartha	ˈcaxəɾˠə
Alba	ˈalˠəbˠə
Íosa Críost	ˌiːsˠə ˈcɾʲiːʃtʲ
mbard	mˠaɾˠd̪ˠ
cairdeach	ˈkaɾʲədʲəx
féin-	fʲeːnʲ-
gróite	ˈɡɾˠótʲə
bogearraí	ˈbˠɪɟəɾˠiː
cleite	ˈclʲɛtʲə
gur	ɡʊɾˠ
duitse	ˈd̪ˠɪtʲʃə
urra	ˈʊɾˠə
nochtach	ˈn̪ˠɔxt̪ˠəx
tosú	ˈt̪ˠɔsˠuː
tromán	ˈt̪ˠɾˠɔmˠɑːnˠ
taisteal	ˈt̪ˠaʃtʲəlˠ
dtaisce	ˈd̪ˠaʃcɪ
tsuite	ˈt̪ˠsˠɪtʲə
séabra	ˈʃeːbˠɾˠə
conairt	ˈkɔn̪ˠəɾˠtʲ
líofa	ˈlʲiːfˠə
chugham	ˈxaiəmˠ
dhíbh	jiːvʲ
Stiofáin	ˈʃtʲjʊfˠɑːnʲ
tsláinte	ˈt̪ˠsˠlˠɑːn̪ʲtʲə
dúisigh	ˈd̪ˠúʃə
claonadh	ˈklˠiːn̪ˠə
gcodanna	ˈɡɔd̪ˠən̪ˠə
doirtear	ˈd̪ˠɔɾˠtʲəɾˠ
ngréin	ŋɾʲeːnʲ
fíniúin	ˈfʲiːnʲúnʲ
baladh	ˈbˠalˠə
foighid	ˈfˠɛjɪdʲ
uaire	ˈuəɾʲə
cén áit	ceːn̪ˠˈɑːtʲ
dhiúca	ˈjuːkə
gléasra	ˈɟlʲeːsˠɾˠə
frog	fˠɾˠɔɡ
cliabhán	ˈclʲiəuɑːnˠ
geire	ˈɟɛɾʲə
urnaí	ˈʊɾˠn̪ˠiː
cúirialta	ˈkúɾʲiəl̪ˠt̪ˠə
deire	ˈdʲɛɾʲə
iaguar	ˈiəɡuəɾˠ
codlatach	ˈkɔd̪ˠlˠət̪ˠəx
plaice	ˈpˠlˠacɪ
gabháltas	ˈɡəuɑːl̪ˠt̪ˠəsˠ
creach	cɾʲax
thángthas	ˈhɪŋəsˠ
bristear	ˈbʲɾʲɪʃtʲəɾˠ
solas	ˈsˠɔlˠəsˠ
cisteanach	ˈcɪʃtʲən̪ˠəx
d'fhág	d̪ˠ'ˈɑːɡ
brisim	ˈbʲɾʲɪʃəmʲ
Gaeilge na hÉireann	ˌɟeːl̪ʲɟɪ n̪ˠə ˈheːɾʲaːn̪ˠ
céille	ˈceːlʲə
