word,tags,ipa,results,match
chodlata,Munster; Connacht,ˈkɔl̪ˠət̪ˠə,ˈxʊd̪ˠlˠat̪ˠa,45
chonaic,Mayo; Connacht,ˈhanʲic,ˈxʊnˠaic,43
chroí,,xɾˠiː,ˈçɾʲoiː,60
chráis,,xɾˠɑːʃ,ˈçɾʲɑːʃ,67
chuir i dtaisce,,ˌxɪɾʲ əˈd̪ˠaʃcɪ,ˈçəiɾʲ ɪ ˈdʲaiʃc'ɛ,53
cháin,Munster; Connacht,xɑːnʲ,ˈçɑːnʲ,80
cháiliúil,Connacht,ˈxɑːlʲuːlʲ,ˈçɑːlʲɪuːlʲ,80
chóir,Munster; Connacht,xoːɾʲ,ˈçoːɾʲ,80
chóisir,Munster; Connacht,ˈxoːʃəɾʲ,ˈçoːʃɪɾʲ,75
criostal,,ˈkɾˠɪsˠt̪ˠəlˠ,ˈc'ɾʲɪsˠt̪ˠalˠ,69
cuir i gcás,,ˌkɪɾʲ ə ˈɡɑːsˠ,ˈcəiɾʲ ɪ ˈɡɑːsˠ,71
cuir i dtaisce,,ˌkɪɾʲ əˈd̪ˠaʃcɪ,ˈcəiɾʲ ɪ ˈdʲaiʃc'ɛ,53
cál ceannann,Munster; Connacht,ˌkɑːlˠ ˈcan̪ˠən̪ˠ,ˈcɑːlˠ ˈcan̪ˠən̪ˠ,88
cú faoil,,ˌkuː ˈfˠiːlʲ,ˈcuː ˈfʲiːlʲ,75
d'fhití,,ˈdʲitʲiː,ˈtʲfʲhɪtʲiː,62
d'fhreagair,,ˈdʲɾʲaɡəɾʲ,ˈtʲfʲhɾʲɑɟaiɾʲ,60
d'fheicinn,Ulster; Connacht,ˈdʲɛcɪn̠ʲ,ˈtʲfʲhɛc'ən̠ʲ,67
dh,,"j, ɟ, ɣ",ɣ,100
dh',,"j, ɣ",ɣ',67
dhaoine,,ˈɣiːnʲə,ˈjiːnʲɛ,71
dhaidí,,ˈɣadʲiː,ˈjɪdʲiː,71
dhá,Munster; Connacht,"(ɣ)ɑː, ɣɑː",ˈɣɑː,75
dháiríre,Munster; Connacht,ɣɑːˈɾʲiːɾʲə,ˈjɑːɾʲiːɾʲɛ,73
diosfaige,,ˌdʲəsˈfɑɟə,ˈdʲɪʃfʲaiɟɛ,40
do,Connacht,ɡə,d̪ˠʊ,0
eachra,,ˈaxɾˠə,ˈæxɾˠa,67
each,,ax,əx,50
