tags,ipa,word
Connacht ; Connacht ,/ˈɟɑːɾˠhə/,gearrtha
Connacht ,/ˈpˠadʲəɾʲ/,paidir
Connacht ,/ˈal̪ˠt̪ˠətʲ/,altfadh
Connacht ,/oːtʲ/,-ódh
Connacht ,/ˈɛlʲə/,uile
Connacht ,/ˈbaʃ/,baithis
Connacht ,/t̪ˠoːnʲ/,tóin
Connacht ; Connacht ,[mˠaːɾˠ jɑːl̪ˠ(t̪ˠ)eɾʲ],mar gheall ar
Connacht ,/ˈd̪ˠal̪ˠt̪ˠəx/,d'altfadh
Connacht ; Munster ,/ɑːlʲ/,áil
Connacht ; Ulster ,/ˈt̪ˠapˠuː/,tapadh
Connacht ,/ˈtʲɪn̠ʲtʲə/,tinte
Connacht ,/ˈaɡiː/,chugaibh
Connacht ,/ˈt̪ˠaui/,tabhaigh
Connacht ,/ˈɑmˠsˠə/,agamsa
Connacht ,/ˈsˠalˠən̪ˠ/,salann
Connacht ,/ˈkol̪ˠiːmʲ/,codlaím
Connacht ; Ulster ,/ˈɟɾʲan̪ˠwəɾˠ/,greannmhar
Connacht ,/eːnˠ/,éan
Connacht ,/ˈfˠoːlˠəmˠə/,foghlamtha
Connacht ; ,/ˈɪfʲɾʲən̪ˠ/,Aifreann
Connacht ,/ˈbˠɔlək/,bolg
Connacht ,/amˠ/,chugam
Connacht ,/kɑːmˠ/,cam
Connacht ,/ˈinʲhiːnʲ/,inchinn
Connacht ; Munster ,/bˠɔɡ/,bog
Connacht ,/ˈbˠanˠuː/,banbh
Connacht ; Munster ,/bˠɑːd̪ˠ/,bád
Connacht ; Connacht ; Ulster ,/ˈaɡəsˠ/,agus
Connacht ; Munster ,/d̪ˠɔd̪ˠ/,dod
Connacht ; Connacht ; Ulster ,/bˠlˠasˠ/,blas
Connacht ,/ˈdʲɪfʲɾʲiəxt̪ˠ/,difríocht
Connacht ,/ˈiːn̪ˠt̪ˠəsˠ/,iontas
