,word,sounds,tags_
3073,dream,"[{""tags"": [""Munster""], ""note"": ""as if spelled dram"", ""ipa"": ""/dˠɾˠaumˠ/""}, {""tags"": [""Munster""], ""note"": ""as if spelled dram"", ""ipa"": ""/dˠɾˠoumˠ/""}, {""tags"": [""Connacht""], ""ipa"": ""/dʲɾʲɑːmˠ/""}, {""tags"": [""Connacht""], ""ipa"": ""/dʲɾʲamˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/dʲɾʲamˠ/""}]",[]
3121,go,"[{""ipa"": ""/ɡɔ/""}, {""ipa"": ""/ɡə/""}]",[]
3122,go,"[{""ipa"": ""/ɡɔ/""}, {""ipa"": ""/ɡə/""}]",[]
3123,go,"[{""ipa"": ""/ɡɔ/""}, {""ipa"": ""/ɡə/""}]",[]
3126,led,"[{""ipa"": ""/lʲɛd̪ˠ/""}]",['Munster']
3127,lean,"[{""tags"": [""Munster""], ""ipa"": ""/lʲan̪ˠ/""}, {""tags"": [""Connacht"", ""Ulster""], ""ipa"": ""/l̠ʲanˠ/""}, {""tags"": [""Connacht"", ""Ulster""], ""ipa"": ""/l̠ʲan̪ˠ/""}]",[]
3231,let,"[{""ipa"": ""/lʲɛt̪ˠ/""}]",['Munster']
3232,finn,"[{""tags"": [""Waterford""], ""ipa"": ""/fʲiːɲ/""}, {""tags"": [""Cork"", ""Galway"", ""Kerry""], ""ipa"": ""/fʲiːn̠ʲ/""}, {""tags"": [""Mayo"", ""Ulster""], ""ipa"": ""/fʲɪn̠ʲ/""}]",[]
3233,finn,"[{""tags"": [""Waterford""], ""ipa"": ""/fʲiːɲ/""}, {""tags"": [""Cork"", ""Galway"", ""Kerry""], ""ipa"": ""/fʲiːn̠ʲ/""}, {""tags"": [""Mayo"", ""Ulster""], ""ipa"": ""/fʲɪn̠ʲ/""}]",[]
3238,bog,"[{""tags"": [""Connacht"", ""Munster""], ""ipa"": ""/bˠɔɡ/""}, {""tags"": [""Ulster""], ""ipa"": ""/bˠʌɡ/""}]",[]
3263,bog,"[{""tags"": [""Connacht"", ""Munster""], ""ipa"": ""/bˠɔɡ/""}, {""tags"": [""Ulster""], ""ipa"": ""/bˠʌɡ/""}]",[]
3274,bog,"[{""tags"": [""Connacht"", ""Munster""], ""ipa"": ""/bˠɔɡ/""}, {""tags"": [""Ulster""], ""ipa"": ""/bˠʌɡ/""}]",[]
3407,thine,"[{""ipa"": ""[ˈhɪnʲə]""}]",[]
3408,sin,"[{""tags"": [""Connacht"", ""Munster""], ""ipa"": ""/ʃɪnʲ/""}, {""tags"": [""Ulster""], ""ipa"": ""/ʃɨ̞nʲ/""}]",[]
3416,cheap,"[{""ipa"": ""/çapˠ/""}]",[]
3417,cheap,"[{""ipa"": ""/çapˠ/""}]",[]
3418,rang,"[{""tags"": [""Munster""], ""ipa"": ""/ɾˠɑŋɡ/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""/ɾˠaːŋɡ/""}, {""tags"": [""Aran"", ""Mayo"", ""Ulster""], ""ipa"": ""/ɾˠaŋ/""}]",[]
3437,rang,"[{""tags"": [""Munster""], ""ipa"": ""/ɾˠɑŋɡ/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""/ɾˠaːŋɡ/""}, {""tags"": [""Aran"", ""Mayo"", ""Ulster""], ""ipa"": ""/ɾˠaŋ/""}]",[]
3456,rang,"[{""tags"": [""Munster""], ""ipa"": ""/ɾˠɑŋɡ/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""/ɾˠaːŋɡ/""}, {""tags"": [""Aran"", ""Mayo"", ""Ulster""], ""ipa"": ""/ɾˠaŋ/""}]",[]
3478,teach,"[{""ipa"": ""/tʲax/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""[tʲæːx]""}]",[]
3510,cloth,"[{""ipa"": ""/klˠɔ(h)/""}]",[]
3556,ball,"[{""tags"": [""Munster""], ""ipa"": ""/bˠɑul̪ˠ/""}, {""tags"": [""Galway""], ""ipa"": ""/bˠɑːl̪ˠ/""}, {""tags"": [""Mayo"", ""Ulster""], ""ipa"": ""/bˠal̪ˠ/""}]",[]
3580,tit,"[{""ipa"": ""/tʲɪtʲ/""}]",[]
3714,lem,"[{""ipa"": ""/lʲɛmˠ/""}]",['Munster']
3715,long,"[{""ipa"": ""/l̪ˠɔŋ/""}, {""tags"": [""Munster""], ""ipa"": ""/l̪ˠuːŋ(ɡ)/""}, {""tags"": [""Munster""], ""ipa"": ""[l̪ˠũːŋ(ɡ)]""}, {""tags"": [""Munster""], ""other"": ""/l̪ˠɔŋɡ/""}, {""tags"": [""Ulster""], ""ipa"": ""/l̪ˠʌŋ/""}]",[]
3761,fear,"[{""ipa"": ""/fʲaɾˠ/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""/fʲæɾˠ/""}]",[]
3780,fear,"[{""ipa"": ""/fʲaɾˠ/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""/fʲæɾˠ/""}]",[]
3964,lig,"[{""ipa"": ""/ˈl̠ʲɪɟ/""}]",[]
4124,san,"[{""ipa"": ""/sˠən̪ˠ/""}, {""ipa"": ""/sˠənˠ/""}, {""ipa"": ""/sˠənʲ/""}]",[]
4125,san,"[{""ipa"": ""/sˠən̪ˠ/""}, {""ipa"": ""/sˠənˠ/""}]",[]
4126,chan,"[{""ipa"": ""[xan̪ˠ]""}, {""ipa"": ""[xanʲ]""}]",['Ulster']
4127,chan,"[{""ipa"": ""[xan̪ˠ]""}]",[]
4128,-san,"[{""ipa"": ""/sˠən̪ˠ/""}, {""ipa"": ""/sˠənˠ/""}]",[]
4134,h,"[{""ipa"": ""/h/""}]",[]
4144,stop,"[{""ipa"": ""/sˠt̪ˠɔpˠ/""}]",[]
4248,stop,"[{""ipa"": ""/sˠt̪ˠɔpˠ/""}]",[]
4267,gram,"[{""ipa"": ""/ˈɡɾˠamˠ/""}]",[]
4334,loch,"[{""tags"": [""Munster""], ""ipa"": ""/l̪ˠɔx/""}, {""tags"": [""Munster""], ""ipa"": ""/l̪ˠɞx/""}, {""tags"": [""Connacht""], ""ipa"": ""/l̪ˠɔx/""}, {""audio"": ""Ga-lough.ogg"", ""text"": ""loch (GA)"", ""tags"": [""General-American""], ""ogg_url"": ""https://upload.wikimedia.org/wikipedia/commons/0/03/Ga-lough.ogg"", ""mp3_url"": ""https://upload.wikimedia.org/wikipedia/commons/transcoded/0/03/Ga-lough.ogg/Ga-lough.ogg.mp3""}, {""homophone"": ""luch (Connacht)""}]",[]
4382,brat,"[{""tags"": [""Aran"", ""Munster""], ""ipa"": ""/bˠɾˠɑt̪ˠ/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""/bˠɾˠat̪ˠ/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""[bˠɾˠaːt̪ˠ]""}, {""tags"": [""Mayo"", ""Ulster""], ""ipa"": ""/bˠɾˠat̪ˠ/""}]",[]
4425,anglais,"[{""ipa"": ""/ˈaŋɡl̪ˠəʃ/""}, {""ipa"": ""/ˈaŋɡlˠəʃ/""}, {""tags"": [""Ulster""], ""ipa"": ""/ˈãːlˠəʃ/""}, {""tags"": [""Ulster""], ""ipa"": ""/ˈãːl̪ˠəʃ/""}]",[]
4444,file,"[{""ipa"": ""/ˈfʲɪlʲə/""}, {""tags"": [""Ulster"", ""also""], ""ipa"": ""/ˈfʲɨ̞lʲə/""}]",[]
4485,breast,"[{""tags"": [""Ulster""], ""note"": ""corresponds to the form briost"", ""ipa"": ""/bʲɾʲɨ̞sˠt̪ˠ/""}]",[]
4486,las,"[{""ipa"": ""/l̪ˠasˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/l̪ˠɔsˠ/""}]",[]
4602,call,"[{""tags"": [""Ulster""], ""ipa"": ""/kal̪ˠ/""}]",['Ulster']
4618,sea,"[{""ipa"": ""/ʃa/""}]",[]
4619,ham,"[{""ipa"": ""[haːmˠ]""}, {""ipa"": ""[hamˠ]""}]",[]
4621,sir,"[{""ipa"": ""/ʃɪɾʲ/""}]",[]
4749,dois,"[{""ipa"": ""[d̪ˠɔʃ]""}]",[]
4754,boc,"[{""ipa"": ""/bˠok/""}, {""ipa"": ""[bˠʌk]""}, {""ipa"": ""[bˠɔk]""}]",[]
4778,cor,"[{""tags"": [""Munster""], ""ipa"": ""/kɞɾˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/kʌɾˠ/""}]",[]
4817,cor,"[{""tags"": [""Munster""], ""ipa"": ""/kɞɾˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/kʌɾˠ/""}]",[]
