crómasómach	ˈkɾˠoːmˠəsˠoːmˠəx
abairt	ˈabˠəɾˠtʲ
sealg	ʃal̪ˠɡ
cháin	xɑːnʲ
cnuimh	kɾˠə
fata	ˈfˠat̪ˠə
táthar	ˈt̪ˠɑːhəɾˠ
hAlbain	ˈhalˠəbˠənʲ
leifteanant	ˈlʲɛfʲtʲən̪ˠən̪ˠt̪ˠ
cloig	klˠɪɟ
ar scáth a	əɾˠˈsˠkɑːh ə
máthar	ˈmˠɑːhəɾˠ
chuir i dtaisce	xɪɾʲ əˈd̪ˠaʃcɪ
tagaimid	ˈt̪ˠaɡəmʲɪdʲ
muide	ˈmˠɪdʲə
lofa	ˈlˠɔfˠə
laoch	lˠiːx
luide	ˈlˠɪdʲə
cip	cɪpʲ
crochta	ˈkɾˠɔxt̪ˠə
aip	apʲ
ásc	ɑːsˠk
dearg	dʲaɾˠɡ
caoch	kiːx
ruaigim	ˈɾˠuəɟɪmʲ
hair	haɾʲ
gair	ɡaɾʲ
fair	fˠaɾʲ
gearg	ɟaɾˠɡ
beirid	ˈbʲɛɾʲɪdʲ
acmhainn	ˈakwən̪ˠ
copóg	ˈkɔpˠoːɡ
cainte	ˈkan̪ʲtʲə
clocásach	ˈklˠɔkɑːsˠəx
taibhse	ˈt̪ˠavʲʃə
stadfaidh	ˈsˠt̪ˠad̪ˠfˠə
seolaim	ˈʃoːlˠəmʲ
deirid	ˈdʲɛɾʲɪdʲ
oícheanta	ˈoiːçən̪ˠt̪ˠə
tnúth	t̪ˠɾˠuː
tacar	ˈt̪ˠakəɾˠ
trócaire	ˈt̪ˠɾˠoːkəɾʲə
airneán	ˈaɾʲnʲeɑːnˠ
piocóid	ˈpʲiəkódʲ
é	eː
bliana	ˈbʲlʲiən̪ˠə
tiomáint	ˈtʲjʊmˠɑːn̪ʲtʲ
díon as	ˈdʲiːn̪ˠ asˠ
leictreachas	ˈlʲɛctʲɾʲəxəsˠ
cupáin	ˈkʊpˠɑːnʲ
trácht	t̪ˠɾˠɑːxt̪ˠ
grean	ɟɾʲan̪ˠ
chum	xʊmˠ
doras	ˈd̪ˠɔɾˠəsˠ
Tír na nÓg	tʲiːɾˠ n̪ˠə ˈn̪ˠoːɡ
ullamh	ˈʊlˠəu
tiús	ˈtʲuːsˠ
ósta	ˈoːsˠt̪ˠə
mbróga	ˈmˠɾˠoːɡə
Ruadhán	ˈɾˠuəɣɑːnˠ
smál	sˠmˠɑːlˠ
toiligh	ˈt̪ˠɛlʲə
Life	ˈlʲɪfʲə
Úna	ˈuːn̪ˠə
chac	xak
fheamainn	ˈamˠən̪ˠ
chiardhuibh	ˈçiəɾˠɣɪvʲ
téis	tʲeːʃ
poitín	ˈpˠɪtʲiːnʲ
fomhórach	ˈfˠəuoːɾˠəx
gríos	ɟɾʲiːʃ
ascaill	ˈasˠkəlˠ
doiligh	ˈd̪ˠɛlʲə
goirín	ˈɡɛɾʲiːnʲ
dearcaim	ˈdʲaɾˠkəmʲ
ar deighilt	əɾˠˈdʲɛjəl̪ʲtʲ
caillim	ˈkalˠəmʲ
barr-	bˠaːɾˠ-
maghar	ˈmˠaiəɾˠ
sceith	ʃcɛ
thais	haʃ
ur-	ʊɾˠ-
séis	ʃeːʃ
tseilbh	tʲʃɛlʲəvʲ
dlúth	d̪ˠlˠuː
buíoch	ˈbˠuiː
gcéadta	ˈɟeːd̪ˠt̪ˠə
chais	xaʃ
bheag	vʲaɡ
ghais	ɣaʃ
seám	ˈʃeɑːmˠ
fheabhas	ˈəuəsˠ
bád	bˠɑːd̪ˠ
phearsa	ˈfʲaɾˠsˠə
líonta	ˈlʲiːn̠̪ˠt̪ˠə
seala	ˈʃalˠə
lasrach	ˈlˠasˠɾˠəx
mairstean	ˈmˠaɾˠʃtʲən̪ˠ
bead	bʲad̪ˠ
éiceolaí	ˈeːcoːlˠiː
spréigh	ʃpʲɾʲɪ
ochtar	ˈɔxt̪ˠəɾˠ
nead	nʲad̪ˠ
otair	ˈɔt̪ˠəɾʲ
éadach	ˈeːd̪ˠəx
tuga	ˈt̪ˠʊɡə
líofa	ˈlʲiːfˠə
preab	pʲɾʲabˠ
gallta	ˈɡal̪ˠt̪ˠə
críoch	cɾʲiː
caoineas	ˈkiːnʲəsˠ
stól	sˠt̪ˠoːlˠ
leac	lʲak
langa	ˈlˠɪŋə
geac	ɟak
fhágáil	ˈɑːɡɑːlʲ
de bhrí go	dʲəˈvʲɾʲiː ɡə
feac	fʲak
d'ainneoin	d̪ˠ'ˈan̪ˠoːnʲ
coróinvíreas	ˈkɔɾˠónʲviːɾʲəsˠ
lúbfar	ˈlˠuːbˠfˠəɾˠ
ciumhais	ˈcəuəʃ
tsál	t̪ˠsˠɑːlˠ
shíníomar	ˈhiːnʲiːmˠəɾˠ
cáilíocht	ˈkɑːlʲiːçtʲ
thearn	haɾˠn̪ˠ
cárbh	kɑːɾˠw
dtiocfá	ˈdʲʊkfˠɑː
ar gcúl	əɾˠˈɡuːlˠ
céide	ˈceːdʲə
eile	ˈɛlʲə
file	ˈfʲɪlʲə
dile	ˈdʲɪlʲə
pócaí	ˈpˠoːkiː
meaits	ˈmʲatʲʃ
smut	sˠmˠʊt̪ˠ
feá	ˈfʲeɑː
fodhuine	ˈfˠuːənʲə
ngoba	ˈŋɔbˠə
goirid	ˈɡɛɾʲɪdʲ
leá	ˈlʲeɑː
meá	ˈmʲeɑː
b'fhéidir	bʲ'ˈeːdʲəɾʲ
coileach	ˈkɛlʲəx
cluiche	ˈklˠɪhə
phota	ˈfˠɔt̪ˠə
an rud a fhaightear go bog caitear go bog é	ənˠ ɾˠʊd̪ˠ əatʲəɾˠ ɡəbˠɔɡ katʲəɾˠ ɡəbˠɪɟ ˈeː
gróite	ˈɡɾˠótʲə
aoileach	ˈiːlʲəx
bhíomar	ˈvʲiːmˠəɾˠ
tobán	ˈt̪ˠɔbˠɑːnˠ
ó	oː
crith	cɾʲɪ
fána	ˈfˠɑːn̪ˠə
tréan	tʲɾʲeːnˠ
a chéile	əˈçeːlʲə
tuirseach	ˈt̪ˠʊɾˠʃəx
cána	ˈkɑːn̪ˠə
dána	ˈd̪ˠɑːn̪ˠə
daol	d̪ˠiːlˠ
gaol	ɡiːlˠ
tréith	tʲɾʲeː
Ungáiris	ˈʊŋɑːɾʲəʃ
charn	xaɾˠn̪ˠ
Colmán	ˈkɔl̪ˠmˠɑːnˠ
bréan	bʲɾʲeːnˠ
t-arán	t̪ˠ-ˈaɾˠɑːnˠ
saol	sˠiːlˠ
scragall	ˈsˠkɾˠaɡəlˠ
slog	sˠlˠɔɡ
smidiríní	ˈʃmʲɪdʲəɾʲiːnʲiː
cóta	ˈkoːt̪ˠə
tír	tʲiːɾʲ
dhe	jɛ
tiocfas	ˈtʲjʊkfˠəsˠ
theacht	haxt̪ˠ
caol	kiːlˠ
baol	bˠiːlˠ
