,word,tags,ipa,results,match
5081,ofráil,Connacht,ˈɔfˠɾˠɑːlʲ,ˈʊfˠrmʲKɾʲ_SUFFIX_AAlˠ'J,1.0
5082,ofrála,Connacht,"ˈɔfˠɾˠɑːlˠə, ˈɔfˠɾˠɑːl̪ˠə",ˈʊfˠɾˠɑːlˠa,1.0
5083,ofrálacha,Connacht,"ˈɔfˠɾˠɑːlˠəxə, ˈɔfˠɾˠɑːl̪ˠəxə",ˈʊfˠɾˠɑːlˠakha,1.0
5086,oibrigh,Connacht,ˈəibʲɾʲiː,ˈɛbʲɾʲmʲKɾʲ_SUFFIX_IGH,0.8
5087,oide,Ulster; Connacht,ˈedʲə,ˈɛdʲɛ,1.0
5091,oidhre,Munster; Connacht,ˈaiɾʲə,ˈɛj'ɾʲɛ,0.75
5095,oighear,,əiɾˠ,ˈɔɡçæɾˠ,0.75
5096,oil,,"ɛlʲ, ɪlʲ",ˈiːlʲ,1.0
5099,oileáin,Connacht,ˈɪlʲɑːnʲ,ˈɛlʲɛɑːnʲ,0.8
5100,oileán,Connacht,"ˈɪlʲɑːnˠ, ˈɪlʲɑːn̪ˠ",ˈɛlʲɛɑːnˠ,0.8
5101,oileánach,Connacht,ˈɪlʲɑːnˠəx,ˈɛlʲɛɑːnˠəx,0.8571428571428572
5104,oilfidh,Ulster; Connacht,"ˈɛlʲ(h)ə, ˈɪlʲ(h)ə",ˈɪlʲiː,0.75
5107,oinniún,Connacht,ˈin̠ʲuːnˠ,ˈɔn̠ʲʊnˠ,1.0
5108,oireacht,Munster; Connacht,ˈeɾʲəxt̪ˠ,ˈɛɾʲɑkht̪ˠ,1.0
5111,oirnis,,ˈəuɾʲn̠ʲəʃ,ˈɛɾʲnʲɪʃ,0.8333333333333334
5112,oirthear,,ˈeɾʲhəɾˠ,ˈɛɾʲçæɾˠ,1.0
5113,ois,,ɪʃ,ˈɛʃ,1.0
5114,oisín,Connacht,ˈɔʃiːnʲ,ˈɛʃmʲKɾʲ_SUFFIX_IInˠ'J,1.0
5115,ola,,ˈɔlˠə,ˈʊlˠa,1.0
5116,olann,Ulster; Connacht,"ˈɔlˠən̪ˠ, ˈɔl̪ˠən̪ˠ",ˈʊlˠən̪ˠ,1.0
5117,olaí,,ˈɔlˠiː,ˈʊlmʲKɾʲ_SUFFIX_A_II,1.0
5118,olc,,"ol̪ˠk, ɔlˠk, ɔl̪ˠk",ˈʊlˠək,1.0
5119,olca,Munster; Connacht,ˈɔlˠkə,ˈʊlˠka,1.0
5120,olla,Munster; Connacht,ˈɔl̪ˠə,ˈʊl̪ˠa,1.0
5121,ollaimh,,ˈɔl̪ˠəvʲ,ˈʊl̪ˠamˠKɾˠ_IVOCmʲFInˠ',0.75
5122,ollbhasún,,ˈɔl̪ˠwaˌsˠuːnˠ,ˈʊl̪ˠwasˠuːnˠ,1.0
5123,ollbhua,,ˈɔl̪ˠˌwuə,ˈʊl̪ˠwua,1.0
5124,olldord,,ˈɔl̪ˠˌd̪ˠoːɾˠd̪ˠ,ˈʊl̪ˠd̪ˠʊɾˠd̪ˠ,1.0
5125,ollscoil,Connacht,"ˈɔl̪ˠˌsˠkɔlʲ, ˈɔl̪ˠˌsˠkɞlʲ",ˈʊl̪ˠsˠkɛlʲ,1.0
5126,optach,Connacht,ˈɔpˠt̪ˠəx,ˈʊpˠt̪ˠəx,1.0
5127,orainne,,ˈɔɾˠən̠ʲə,ˈʊɾˠain̠ʲɛ,0.8333333333333334
5128,orca,,ˈɔɾˠkə,ˈʊɾˠka,1.0
5129,orla,,ˈɔːɾˠl̪ˠə,ˈʊɾˠlˠa,1.0
5130,orm,Ulster; stressed; Connacht,ˈɔɾˠəmˠ,ˈʊɾˠəmˠ,1.0
5131,orm,Ulster; unstressed; Connacht,(ə)ɾˠmˠ,ˈʊɾˠəmˠ,0.75
5132,ormsa,,ˈɔɾˠəmˠsˠə,ˈʊɾˠmˠsˠa,0.8333333333333334
5134,ortsa,,ˈɔɾˠt̪ˠsˠə,ˈʊɾˠt̪ˠsˠa,1.0
5135,oráiste,Connacht,ˈɔɾˠɑːʃtʲə,ˈʊɾˠɑːʃtʲɛ,1.0
5136,oráistí,,"oˈrɑːʃtʲiː, ˈorɑːʃtʲiː",ˈʊɾˠɑːʃmʲKɾʲ_SUFFIX_TII_ACT,1.0
5137,os,Munster; Connacht,ɔsˠ,ʊsˠ,1.0
5138,os cionn,Connacht,oːsˠˈciən̪ˠ,ʊsˠ ˈciːn̪ˠ,0.6666666666666667
5139,os coinne,,əsˠˈkɪn̠ʲə,ʊsˠ ˈkɔn̠ʲɛ,1.0
5140,os comhair,Connacht,əsˠˈkuːɾʲ,ʊsˠ ˈkʊwaiɾʲ,0.625
5141,osa,,ˈɔsˠə,ˈʊsˠa,1.0
5142,oscail,,ˈɔsˠkəlʲ,ˈʊsˠkailʲ,0.8333333333333334
5143,oscailt,Munster; Connacht,ˈɔsˠkəl̠ʲtʲ,ˈʊsˠkailʲtʲ,0.8571428571428572
5144,oscailte,,ˈɔsˠkɪlʲtʲɪ,ˈʊsˠkailʲtʲɛ,0.875
5145,oscar,Munster; Connacht,ˈɔsˠkəɾˠ,ˈʊsˠkaɾˠ,1.0
5146,osna,,ˈɔsˠn̪ˠə,ˈʊsˠnˠa,1.0
5147,ospidéal,Connacht,ˈɔsˠpʲədʲeːlˠ,ˈɛʃpʲɪdʲeːalˠ,0.875
5148,ospidéil,Munster; Connacht,ˈɔspʲədʲeːlʲ,ˈɛʃpʲɪdʲeːlʲ,1.0
5149,otair,Munster; Connacht,ˈɔt̪ˠəɾʲ,ˈʊt̪ˠaiɾʲ,0.8
5150,othar,,ˈɔhəɾˠ,ˈʊçaɾˠ,0.75
5151,otharlann,,ˈɔhəɾˠl̪ˠənˠ,ˈʊçaɾˠlˠən̪ˠ,0.8571428571428572
5153,oícheanta,Ulster; Connacht,ˈiːçən̪ˠt̪ˠə,ˈoiːcçɑnˠt̪ˠa,0.8333333333333334
5469,ruaille buaille,,ˌɾˠuəl̠ʲə ˈbˠuəl̠ʲə,ˈɾˠʊail̠ʲɛ ˈbˠʊail̠ʲɛ,0.8333333333333334
5528,róid,Munster; Connacht,ɾˠoːdʲ,ˈrmʲKɾʲ_OIACTlˠnˠGdʲ,1.0
5668,seacht,,ʃaxt̪ˠ,ˈsˠakht̪ˠ,1.0
5669,seacht déag,,ʃaxt̪ˠ dʲeːɡ,ˈsˠakht̪ˠ ˈdʲeːaɡ,0.875
