canúnach	ˈkan̪ˠuːn̪ˠəx
fuisce	ˈfˠɪʃcɪ
cion	ˈciən̪ˠ
bruscar	ˈbˠɾˠʊsˠkəɾˠ
cuntais	ˈkʊn̪ˠt̪ˠəʃ
Eithne	ˈɛhnʲə
Bríd	bʲɾʲiːdʲ
óige	ˈóɟɪ
mion	ˈmʲiən̪ˠ
mhaith	wa
focail	ˈfˠɔkəlʲ
athrú	ˈahɾˠuː
abraid	ˈabˠɾˠədʲ
chaith	xa
ngealach	ˈŋalˠəx
boladh	ˈbˠɔlˠə
leamhnacht	ˈlʲəun̪ˠəxt̪ˠ
plean	pʲlʲan̪ˠ
bhriste	ˈvʲɾʲɪʃtʲə
pící	ˈpʲiːciː
Abcáisis	ˈabˠkɑːʃəʃ
cúpla	ˈkuːpˠlˠə
sna	sˠn̪ˠa
buntáiste	ˈbˠʊn̪ˠt̪ˠɑːʃtʲə
ina	ˈɪn̪ˠə
tapa	ˈt̪ˠapˠə
dúbail	ˈd̪ˠuːbˠəlʲ
ógfhear	ˈoːɟəɾˠ
goilí	ˈɡɛlʲiː
lapa	ˈlˠapˠə
pus	pˠʊsˠ
deirteá	ˈdʲɛɾˠtʲeɑː
amhráin	ˈəuɾˠɑːnʲ
feic	fʲɛc
phonc	fˠɔn̪ˠk
biatach	ˈbʲiət̪ˠəx
thiocfainn	ˈhjʊkfˠən̪ˠ
nG	ŋ
leic	lʲɛc
báis	bˠɑːʃ
fhreastal	ˈɾʲasˠt̪ˠəlˠ
bhfuil	wɪlʲ
Sord	sˠɔɾˠd̪ˠ
phráis	fˠɾˠɑːʃ
deoise	ˈdʲoːʃə
