word,tags,ipa,results,match
Fianna Fáil,,ˈfʲiən̪ˠə ˈfˠɑːlʲ,ˈfʲiən̪ˠə ˈfˠɑːlʲ,100
Fine Gael,,ˌfʲɪnʲə ˈɡeːlˠ,ˈfʲɪnʲɪ ˈɡeːlʲ,79
Fionlainn,,ˈfʲɪnlˠən̠ʲ,ˈfʲɪnˠlˠən̠ʲ,91
Fionlainnis,,ˈfʲɪn̪ˠl̪ˠən̠ʲɪʃ,ˈfʲɪnˠlˠən̠ʲɪʃ,86
Fionlainnise,,ˈfʲɪn̪ˠl̪ˠən̠ʲɪʃə,ˈfʲɪnˠlˠən̠ʲɪʃɪ,87
Fionnabhair,,ˈfʲɪn̪ˠuːɾʲ,ˈfʲɪn̪ˠəɪɾʲ,82
Fionnghall,,fʲuːnɣal,ˈfʲɪn̪ˠɣəl̪ˠ,50
Fionnghuala,,fʲɪn̪ˠˈuːəlˠə,ˈfʲɪn̪ˠɣəlˠə,75
Frainc,Ulster; Connacht,fˠɾˠæɲc,ˈfˠɾˠanʲc,57
Fraince,Ulster; Connacht,ˈfˠɾˠæɲcɪ,ˈfˠɾˠanʲcɪ,67
Fraincis,,ˈfˠɾˠaɲcɪʃ,ˈfˠɾˠanʲcɪʃ,80
Franc,,ˈfˠɾˠaŋk,ˈfˠɾˠank,88
Franca,,ˈfˠɾˠaŋkə,ˈfˠɾˠanˠkə,78
Fínín,Connacht,ˈfʲiːnʲiːnʲ,ˈfʲiːnʲiːnʲ,100
Fíníneachas,Connacht,ˈfʲiːnʲiːnʲəxəsˠ,ˈfʲiːnʲiːnʲɪxəsˠ,94
Fódhla,,"ˈfˠoːlˠə, ˈfˠoːl̪ˠə",ˈfˠoːɣlˠə,89
Fórsa Cosanta Áitiúil,,ˈfˠoːɾˠsˠə ˈkɔsˠən̪ˠt̪ˠə ˈaːtʲuːlʲ,ˈfˠoːɾˠsˠə ˈkʊsˠənˠt̪ˠə ˈɑːtʲɪuːlʲ,91
Gaedhilge,,ˈɡeːlʲɟə,ˈɡeːjɪlʲɟɪ,75
Gaedhlaing,,ˈɡeːlɪɲ,ˈɡeːjlʲɪŋ,71
Gaeil,,ɡeːlʲ,ˈɡeːɪlʲ,80
Gaeilge na hAlban,,"ˈɡeːlʲɟɪ nˠə ˈhalˠəbˠənˠ, ˈɡeːlʲɟɪ n̪ˠə ˈhal̪ˠəbˠən̪ˠ",ˈɡeːɪlʲɟɪ ˈnˠa ˈhalˠbˠənˠ,88
