deice	ˈdʲɛcɪ
dord	d̪ˠɔɾˠd̪ˠ
bord	bˠɔɾˠd̪ˠ
cad is ainm duit	kadʲ əsˠ an̪ˠmˠ ˈd̪ˠɪtʲ
háidí	ˈhɑːdʲiː
Bearna	ˈbʲaɾˠn̪ˠə
roimh	ɾˠɛ
T-léine	tʲ-ˈlʲeːnʲə
dháiríre	ˈɣɑːɾʲiːɾʲə
aistriú	ˈaʃtʲɾʲuː
Stiofáin	ˈʃtʲjʊfˠɑːnʲ
púca	ˈpˠuːkə
shloinne	ˈhlˠɪnʲə
oide faoistine	ˌɛdʲə ˈfˠiːʃtʲənʲə
thoirt	hɔɾˠtʲ
spól	sˠpˠoːlˠ
bícéips	ˈbʲiːceːpʲʃ
Tír na nÓg	tʲiːɾˠ n̪ˠə ˈn̪ˠoːɡ
róghoilliúnach	ˈɾˠoːɣəlˠuːn̪ˠəx
duille	ˈd̪ˠɪlʲə
cíos	ciːʃ
buille	ˈbˠɪlʲə
inní	ˈɪnʲiː
chluais	ˈxlˠuəʃ
míos	mʲiːʃ
níos	nʲiːʃ
turaireacht	ˈt̪ˠʊɾˠəɾʲəxt̪ˠ
líos	lʲiːʃ
glóir	ˈɡlˠóɾʲ
in aice le	ɪn̪ˠ ˈacɪ lʲə
folach	ˈfˠɔlˠəx
loingeas	ˈlˠɛɲəsˠ
síos	ʃiːʃ
binde	ˈbʲɪnʲədʲə
tiarna	ˈtʲiəɾˠn̪ˠə
dtaenna	ˈdʲeːnʲə
coscairt	ˈkɔsˠkəɾˠtʲ
Déardaoin	ˈdʲeːɾˠd̪ˠiːnʲ
fathach	ˈfˠahəx
Mumhan	ˈmˠəuən̪ˠ
chama	ˈxamˠə
léis	lʲeːʃ
brúnn	bˠɾˠuːn̪ˠ
speala	ˈʃpʲalˠə
téis	tʲeːʃ
séis	ʃeːʃ
domsa	ˈd̪ˠɔmˠsˠə
cic	cɪc
puca	ˈpˠʊkə
nis	nʲɪʃ
ois	ɛʃ
muca	ˈmˠʊkə
bhfuiltear	ˈwɪl̠ʲtʲəɾˠ
moille	ˈmˠɛlʲə
carraig	ˈkaɾˠəc
scairt	sˠkɛɾˠtʲ
Uíbh	ˈuiːvʲ
leabhar	ˈlʲəuəɾˠ
muirnín	ˈmˠɪɾʲnʲiːnʲ
ceathrair	ˈcahɾˠəɾʲ
tuirse	ˈt̪ˠʊɾˠʃə
cé mhéad	ceːˈvʲeːd̪ˠ
coille	ˈkɛlʲə
-íos	-iːʃ
buinneach	ˈbˠɪnʲəx
uis	ɪʃ
aonghuthach	ˈɪŋhəhəx
gallán	ˈɡalˠɑːnˠ
mhaige	ˈwaɟɪ
ghobtha	ˈɣɔpˠə
ngeallann	ˈŋalˠən̪ˠ
dhaoine	ˈɣiːnʲə
uíbh	ˈuiːvʲ
úth	uː
blaoisce	ˈbˠlˠiːʃcɪ
mearbhall	ˈmʲaɾˠwəlˠ
busanna	ˈbˠʊsˠən̪ˠə
briseanna	ˈbʲɾʲɪʃən̪ˠə
láidir	ˈlˠɑːdʲəɾʲ
lic	lʲɪc
mic	mʲɪc
abairt	ˈabˠəɾˠtʲ
critice	ˈcɾʲɪtʲɪcɪ
Tír Bhascach	tʲiːɾˠ ˈwasˠkəx
ní hea	nʲiːˈha
céilí	ˈceːlʲiː
Brian	ˈbʲɾʲiən̪ˠ
díogacha	ˈdʲiːɡəxə
d'fheicinn	dʲ'ˈɛcɪnʲ
ngabhar	ˈŋəuəɾˠ
gos	ɡɔsˠ
bláthmhar	ˈbˠlˠɑːhwəɾˠ
teorainneacha	ˈtʲoːɾˠən̪ˠəxə
ardaigh	ˈaɾˠəd̪ˠə
ochón	ˈɔxoːnˠ
iarracht	ˈiəɾˠəxt̪ˠ
ghob	ɣɔbˠ
féidir	ˈfʲeːdʲəɾʲ
mháthair	ˈwɑːhəɾʲ
cúcamar	ˈkuːkəmˠəɾˠ
mathúin	ˈmˠahúnʲ
cruacha	ˈkɾˠuəxə
coiste	ˈkɛʃtʲə
cláiríneach	ˈklˠɑːɾʲiːnʲəx
torann	ˈt̪ˠɔɾˠən̪ˠ
ins	ɪn̠ʲʃ
tibhe	ˈtʲəiə
comhionann	ˈkɪiən̪ˠən̪ˠ
saighead	ˈsˠajəd̪ˠ
feadh	fʲɪ
i dtrátha	əˈd̪ˠɾˠɑːhə
dos	d̪ˠɔsˠ
loc	lˠɔk
crith	cɾʲɪ
fhichead	ˈɪçəd̪ˠ
tacar	ˈt̪ˠakəɾˠ
sraoill	sˠɾˠiːlʲ
giob	ˈɟiəbˠ
soc	sˠɔk
bruíon	ˈbˠɾˠuiːnʲ
'sé	'ʃeː
deinid	ˈdʲɛnʲɪdʲ
leabharlann	ˈlʲəuəɾˠlˠən̪ˠ
miadh	ˈmʲiə
tchíonn	tʲçiːnʲ
díchéillí	ˈdʲiːçeːlʲiː
héileacaptar	ˈheːlʲəkəpˠt̪ˠəɾˠ
bacaí	ˈbˠakiː
Nuala	ˈn̪ˠuəlˠə
gheala	ˈjalˠə
dté	dʲeː
prioc	ˈpʲɾʲjʊk
áirid	ˈɑːɾʲɪdʲ
sólás	ˈsˠoːlˠɑːsˠ
úsáideach	ˈuːsˠɑːdʲəx
druncaera	ˈd̪ˠɾˠɪn̠ʲceːɾˠə
calrach	ˈkal̪ˠɾˠəx
praghas	ˈpˠɾˠaiəsˠ
liosta	ˈlʲiəsˠt̪ˠə
freisin	ˈfʲɾʲɛʃɪnʲ
i mbun	əˈmˠʊn̪ˠ
giosta	ˈɟiəsˠt̪ˠə
tál	t̪ˠɑːlˠ
gráiniúil	ˈɡɾˠɑːnʲúlʲ
ina dhiaidh sin	ˌɪn̪ˠə jiə ˈʃɪnʲ
i ndísc	əˈnʲiːʃc
shnua	hn̪ˠuə
breoim	bʲɾʲoːmʲ
srian	ˈʃɾʲiən̪ˠ
phíopa	ˈfʲiːpˠə
scioból	ˈʃciəbˠoːlˠ
sinsear	ˈʃɪn̠ʲʃəɾˠ
coirce	ˈkɛɾʲcɪ
fál	fˠɑːlˠ
cál	kɑːlˠ
bál	bˠɑːlˠ
coitianta	ˈkɪtʲiən̪ˠt̪ˠə
réimeanna	ˈɾˠeːmʲən̪ˠə
Antóin	ˈan̪ˠt̪ˠónʲ
dréim	dʲɾʲeːmʲ
chaoimhe	ˈxiːvʲə
oráistí	ˈɔɾˠɑːʃtʲiː
gcarachtar	ˈɡaɾˠəxt̪ˠəɾˠ
dochar	ˈd̪ˠɔxəɾˠ
mbrata	ˈmˠɾˠat̪ˠə
haonaid	ˈhiːn̪ˠədʲ
d'	d̪ˠ'
Cháit	xɑːtʲ
bearach	ˈbʲaɾˠəx
aigéad	ˈaɟeːd̪ˠ
dugaire	ˈd̪ˠʊɡəɾʲə
m'	mˠ'
straidhn	sˠt̪ˠɾˠənʲ
dhiúic	ˈjúc
seolaim	ˈʃoːlˠəmʲ
Dé Luain	dʲeː ˈlˠuənʲ
gabhaidís	ˈɡəuədʲiːʃ
tnáithim	ˈt̪ˠɾˠɑːhɪmʲ
inarb	ˈɪn̪ˠəɾˠbˠ
feighil	ˈfʲɛjɪlʲ
snaoisín	ˈsˠn̪ˠiːʃiːnʲ
Bablóinia	ˈbˠabˠlˠónʲiə
codlaím	ˈkɔd̪ˠlˠəmʲ
huaisle	ˈhuəʃlʲə
leatsa	ˈlʲat̪ˠsˠə
phlainc	fˠlˠan̪ʲc
a'	ə
stáisiún	ˈsˠt̪ˠɑːʃuːnˠ
b'	bˠ'
cathair	ˈkahəɾʲ
cnámha	ˈkɾˠáiːə
garmhac	ˈɡaɾˠwək
ofrála	ˈɔfˠɾˠɑːlˠə
caithirín	ˈkahəɾʲiːnʲ
óm	oːmˠ
roimis	ˈɾˠɪmʲəʃ
tráill	t̪ˠɾˠɑːlˠ
Tomáisín	ˈt̪ˠɔmˠɑːʃiːnʲ
Bré	bʲɾʲeː
mbard	mˠaɾˠd̪ˠ
cuisle	ˈkɪʃlʲə
banana	ˈbˠan̪ˠən̪ˠə
-tá	-t̪ˠɑː
polla	ˈpˠɔlˠə
chéim	çeːmʲ
guth	ɡʊ
morg	mˠɔɾˠɡ
déarfainn	ˈdʲeːɾˠfˠən̪ˠ
damnaigh	ˈd̪ˠamˠn̪ˠə
iógart	ˈioːɡəɾˠt̪ˠ
cinnire	ˈcɪnʲəɾʲə
nguíonna	ˈŋuiːnʲə
ceiste	ˈcɛʃtʲə
scuaid	ˈsˠkuədʲ
n-abhann	n̪ˠ-ˈəuən̪ˠ
inste	ˈɪn̠ʲʃtʲə
díograis	ˈdʲiːɡɾˠəʃ
tharamsa	ˈhaɾˠəmˠsˠə
gléasta	ˈɟlʲeːsˠt̪ˠə
dronuilleog	ˈd̪ˠɾˠɔn̪ˠəlˠoːɡ
milis	ˈmʲɪlʲəʃ
gaol	ɡiːlˠ
géagláidir	ˈɟeːɡlˠɑːdʲəɾʲ
tseanbhean	ˈtʲʃan̪ʲvʲən̪ˠ
faol	fˠiːlˠ
caol	kiːlˠ
daol	d̪ˠiːlˠ
atáim	ˈat̪ˠɑːmʲ
gairm	ɡaɾʲmʲ
bearna baoil	ˌbʲaɾˠn̪ˠə ˈbˠiːlʲ
tabhartanas	ˈt̪ˠəuəɾˠt̪ˠən̪ˠəsˠ
earc	aɾˠk
Port an Dúnáin	pˠɔɾˠt̪ˠ ənˠ ˈd̪ˠuːn̪ˠɑːnʲ
t-athrú	t̪ˠ-ˈahɾˠuː
meacan	ˈmʲakən̪ˠ
éirim	ˈeːɾʲɪmʲ
inné	ˈɪnʲeː
gceárta	ˈɟeɑːɾˠt̪ˠə
Dáil Éireann	d̪ˠɑːlʲ ˈeːɾʲən̪ˠ
dearthár	ˈdʲaɾˠɑːɾˠ
luch	lˠʊx
blaosc	bˠlˠiːsˠk
tuama	ˈt̪ˠuəmˠə
daichead	ˈd̪ˠahəd̪ˠ
cloig	klˠɪɟ
mamach	ˈmˠamˠəx
dtír	dʲiːɾʲ
cheart	çaɾˠt̪ˠ
Claíomh Solais	ˌklˠiːəu ˈsˠɔlˠəʃ
Oisín	ˈɛʃiːnʲ
thíos	hiːʃ
sé	ʃeː
té	tʲeː
gcol	ɡɔlˠ
chodail	ˈxɔd̪ˠəlʲ
pobail	ˈpˠɔbˠəlʲ
tithe ósta	ˌtʲɪhə ˈoːsˠt̪ˠə
mé	mʲeː
ghiorria	ˈjiəɾˠiə
cluin	klˠɪnʲ
jé	jeː
gé	ɟeː
hé	heː
fé	fʲeː
arú amárach	ˌaɾˠuː ˈamˠɑːɾˠəx
báite	ˈbˠɑːtʲə
yé	yeː
bheir	vʲɛɾʲ
oisín	ˈɛʃiːnʲ
guala	ˈɡuəlˠə
chóisir	ˈxóʃəɾʲ
vé	veː
feicim	ˈfʲɛcɪmʲ
fuin	fˠɪnʲ
t-os	t̪ˠ-ɔsˠ
lus	lˠʊsˠ
n-os	n̪ˠ-ɔsˠ
buin	bˠɪnʲ
feith	fʲɛ
pus	pˠʊsˠ
t-	t̪ˠ-
caite	ˈkatʲə
n-ainmneacha	n̪ˠ-ˈan̪ʲmʲnʲəxə
mbíos	mʲiːʃ
maite	ˈmˠatʲə
mbaint	mˠan̪ʲtʲ
baiste	ˈbˠaʃtʲə
sneachtúil	ˈʃnʲaxt̪ˠúlʲ
gcéibh	ɟeːvʲ
grámhar	ˈɡɾˠáiːəɾˠ
feac	fʲak
gaiste	ˈɡaʃtʲə
carráiste	ˈkaɾˠɑːʃtʲə
dream	dʲɾʲamˠ
leac	lʲak
daonchairdiúil	ˈd̪ˠiːn̠̪ˠxəɾʲdʲúlʲ
taois	t̪ˠiːʃ
ciclipéid	ˈcɪclʲɪpʲeːdʲ
greannmhar	ˈɟɾʲan̪ˠwəɾˠ
stadta	ˈsˠt̪ˠad̪ˠt̪ˠə
án	ɑːnˠ
céad míle fáilte	ceːdʲ mʲiːlʲə ˈfˠɑːl̪ʲtʲə
cadhnra	ˈkain̪ˠɾˠə
cochall	ˈkɔxəlˠ
ndorn	n̪ˠɔɾˠn̪ˠ
teith	tʲɛ
leathanach	ˈlʲahən̪ˠəx
bhó	woː
castóir	ˈkasˠt̪ˠóɾʲ
cuinneog	ˈkɪnʲoːɡ
leith	lʲɛ
ónarbh	ˈoːn̪ˠəɾˠw
gcorp	ɡɔɾˠpˠ
capaill	ˈkapˠəlˠ
fuinneog	ˈfˠɪnʲoːɡ
gus	ɡʊsˠ
fír	fʲiːɾʲ
chorp	xɔɾˠpˠ
fíniúnach	ˈfʲiːnʲuːn̪ˠəx
gariníon	ˈɡaɾʲənʲiːnʲ
piantar	ˈpʲiən̪ˠt̪ˠəɾˠ
chuireas	ˈxɪɾʲəsˠ
deirteá	ˈdʲɛɾˠtʲeɑː
fuaire	ˈfˠuəɾʲə
saol	sˠiːlˠ
maol	mˠiːlˠ
boladh	ˈbˠɔlˠə
síor-	ʃiːɾʲ-
dearmadach	ˈdʲaɾˠmˠəd̪ˠəx
íocaim	ˈiːkəmʲ
ceannann	ˈcan̪ˠən̪ˠ
speal	ʃpʲalˠ
fíor-	fʲiːɾʲ-
turas	ˈt̪ˠʊɾˠəsˠ
Éabha	ˈeːwə
tsnua	t̪ˠsˠn̪ˠuə
búistéara	ˈbˠúʃtʲeːɾˠə
duileasc	ˈd̪ˠɪlʲəsˠk
cabhrach	ˈkəuɾˠəx
ngiorria	ˈŋiəɾˠiə
Ó Cathain	oː ˈkahənʲ
clogaide	ˈklˠɔɡədʲə
mír	mʲiːɾʲ
shlíoc	hlʲiːc
gaimbín	ˈɡamʲəbʲiːnʲ
iomad	ˈʊmˠəd̪ˠ
íseal	ˈiːʃəlˠ
ndola	ˈn̪ˠɔlˠə
cé na	ˈceː n̪ˠə
phuca	ˈfˠʊkə
caith	ka
mhuca	ˈwʊkə
iad	ˈiəd̪ˠ
dorn	d̪ˠɔɾˠn̪ˠ
gad	ɡad̪ˠ
uasghrádú	ˈuəsˠɾˠɑːd̪ˠuː
cad	kad̪ˠ
casúr	ˈkasˠuːɾˠ
plúr	pˠlˠuːɾˠ
stotha	ˈsˠt̪ˠɔhə
mac tíre	mˠac ˈtʲiːɾʲə
cheárta	ˈçeɑːɾˠt̪ˠə
ait	atʲ
íocaíocht	ˈiːkiːəxt̪ˠ
bídís	ˈbʲiːdʲiːʃ
cáibín	ˈkɑːbʲiːnʲ
buaine	ˈbˠuənʲə
coileach	ˈkɛlʲəx
aoileach	ˈiːlʲəx
feola	ˈfʲoːlˠə
bhfeaca	ˈvʲakə
bráthair	ˈbˠɾˠɑːhəɾʲ
tit	tʲɪtʲ
duibheagán	ˈd̪ˠɪvʲəɡɑːnˠ
Inis Meáin	ˌɪnʲəʃ ˈmʲeɑːnʲ
ciorcal	ˈciəɾˠkəlˠ
Ros Comáin	ɾˠɔsˠ ˈkɔmˠɑːnʲ
dtiocfad	ˈdʲʊkfˠəd̪ˠ
uain	ˈuənʲ
potaí	ˈpˠɔt̪ˠiː
dhéanfaí	ˈjeːn̠̪ˠfˠiː
dragan	ˈd̪ˠɾˠaɡən̪ˠ
ar a fhad	əɾˠ əˈad̪ˠ
coiteann	ˈkɪtʲən̪ˠ
crúca	ˈkɾˠuːkə
scata	ˈsˠkat̪ˠə
muilinn	ˈmˠɪlʲən̪ˠ
ropas	ˈɾˠɔpˠəsˠ
coir	kɛɾʲ
aoir	iːɾʲ
goir	ɡɛɾʲ
doir	d̪ˠɛɾʲ
carraigeach	ˈkaɾˠəɟəx
bláfar	ˈbˠlˠɑːfˠəɾˠ
milse	ˈmʲɪl̠ʲʃə
os coinne	əsˠ ˈkɪnʲə
gabhála	ˈɡəuɑːlˠə
fiáin	ˈfʲiɑːnʲ
srotha	ˈsˠɾˠɔhə
-ídís	-ˈiːdʲiːʃ
mbata	ˈmˠat̪ˠə
bricfásta	ˈbʲɾʲɪkfˠɑːsˠt̪ˠə
meánach	ˈmʲeɑːn̪ˠəx
Abcáisis	ˈabˠkɑːʃəʃ
fial	ˈfʲiəlˠ
dlíthiúil	ˈdʲlʲiːhúlʲ
sáil	sˠɑːlʲ
bhfeighil	ˈvʲɛjɪlʲ
déirce	ˈdʲeːɾʲcɪ
tímid	ˈtʲiːmʲɪdʲ
aríst	ˈaɾʲiːʃtʲ
pearsa	ˈpʲaɾˠsˠə
bháis	wɑːʃ
Micheál	ˈmʲɪçeɑːlˠ
fitear	ˈfʲɪtʲəɾˠ
nimhe	ˈnʲəiiːə
síoraí	ˈʃiːɾˠiː
soir	sˠɛɾʲ
fealsúnacht	ˈfʲal̪ˠsˠuːn̪ˠəxt̪ˠ
nímid	ˈnʲiːmʲɪdʲ
sealadach	ˈʃalˠəd̪ˠəx
dísc	dʲiːʃc
toir	t̪ˠɛɾʲ
cháin	xɑːnʲ
smúr	sˠmˠuːɾˠ
trá	t̪ˠɾˠɑː
gaire	ˈɡaɾʲə
peata	ˈpʲat̪ˠə
uafás	ˈuəfˠɑːsˠ
páipéar	ˈpˠɑːpʲeːɾˠ
leabhair	ˈlʲəuəɾʲ
meabhair	ˈmʲəuəɾʲ
grá	ɡɾˠɑː
imir	ˈɪmʲəɾʲ
abhacád	ˈəuəkɑːd̪ˠ
craobhach	ˈkɾˠiːwəx
cé	ceː
dé	dʲeː
det	dʲɪtʲ
ghlactaí	ˈlˠakt̪ˠiː
Diarmaid	ˈdʲiəɾˠmˠədʲ
let	lʲɪtʲ
tsá	t̪ˠsˠɑː
cruinne	ˈkɾˠɪnʲə
cealgaire	ˈcalˠəɡəɾʲə
bhuntáiste	ˈwʊn̪ˠt̪ˠɑːʃtʲə
gaofar	ˈɡiːfˠəɾˠ
Parthalán	ˈpˠaɾˠəlˠɑːnˠ
dhónna	ˈɣoːn̪ˠə
Bé	bʲeː
chualas	ˈxuəlˠəsˠ
ndlaoi	n̪ˠlˠiː
sodar	ˈsˠɔd̪ˠəɾˠ
luachmhar	ˈlˠuəxwəɾˠ
laofa	ˈlˠiːfˠə
Ciarraí	ˈciəɾˠiː
fiabhrais	ˈfʲiəuɾˠəʃ
naofa	ˈn̪ˠiːfˠə
tuigeann	ˈt̪ˠɪɟən̪ˠ
stá	sˠt̪ˠɑː
uathlathaí	ˈuəhlˠəhiː
gcaogad	ˈɡiːɡəd̪ˠ
sheal	halˠ
banda	ˈbˠan̪ˠəd̪ˠə
barrach	ˈbˠaɾˠəx
Seáin	ˈʃeɑːnʲ
tóig	ˈt̪ˠóɟ
fuadach	ˈfˠuəd̪ˠəx
ndara	ˈn̪ˠaɾˠə
ceárta	ˈceɑːɾˠt̪ˠə
donnrua	ˈd̪ˠʊn̪ˠɾˠuə
lá breithe maith agat	lˠɑː bʲɾʲɛhə mˠah ˈəɡət̪ˠ
costas	ˈkɔsˠt̪ˠəsˠ
cairn	kaɾʲnʲ
agaibh	aɡəvʲ
haicmí	ˈhacmʲiː
dochtúr	ˈd̪ˠɔxt̪ˠuːɾˠ
scaití	ˈsˠkatʲiː
deirfiúr	ˈdʲɛɾʲfʲuːɾˠ
tógtar	ˈt̪ˠoːɡt̪ˠəɾˠ
taosc	t̪ˠiːsˠk
fúm	fˠuːmˠ
leagann	ˈlʲaɡən̪ˠ
geata	ˈɟat̪ˠə
stábh	sˠt̪ˠɑːvʲ
tuairisceoir	ˈt̪ˠuəɾʲəʃcoːɾʲ
in éineacht	ɪnʲ ˈeːnʲəxt̪ˠ
caithfidh	ˈkahfʲə
aonad	ˈiːn̪ˠəd̪ˠ
scara	ˈsˠkaɾˠə
nílim	ˈnʲiːlʲɪmʲ
ail	alʲ
smigín	ˈʃmʲɪɟiːnʲ
cáiliúil	ˈkɑːlʲúlʲ
did	dʲɪdʲ
gil	ɟɪlʲ
riarann	ˈɾˠiəɾˠən̪ˠ
éag	eːɡ
dil	dʲɪlʲ
eil	ɛlʲ
ort	ɔɾˠt̪ˠ
chíd	çiːdʲ
colbha	ˈkɔlˠəvˠə
i ndiaidh	əˈnʲiə
bhfiarthaí	ˈvʲiəɾˠiː
chuiris	ˈxɪɾʲəʃ
pasam	ˈpˠasˠəmˠ
ruacan	ˈɾˠuəkən̪ˠ
Fhionlainnis	ˈiən̪ˠlˠən̪ˠəʃ
hanam	ˈhan̪ˠəmˠ
oil	ɛlʲ
scil	ʃcɪlʲ
go leor	ɡəˈlʲoːɾˠ
céachta	ˈceːxt̪ˠə
plaisteacht	ˈpˠlˠaʃtʲəxt̪ˠ
mil	mʲɪlʲ
manach	ˈmˠan̪ˠəx
Fínín	ˈfʲiːnʲiːnʲ
comhartha	ˈkəuəɾˠə
sil	ʃɪlʲ
bradach	ˈbˠɾˠad̪ˠəx
aiges	ˈaɟɪʃ
bhfáinní	ˈwɑːn̪ˠiː
chaoga	ˈxiːɡə
císte	ˈciːʃtʲə
Pheadar	ˈfʲad̪ˠəɾˠ
gréisceach	ˈɟɾʲeːʃcəx
gréasaí	ˈɟɾʲeːsˠiː
doiligh	ˈd̪ˠɛlʲə
aoiligh	ˈiːlʲə
páirtí	ˈpˠɑːɾˠtʲiː
rásúr	ˈɾˠɑːsˠuːɾˠ
céad mháta	ceːd̪ˠ ˈwɑːt̪ˠə
Cillian	ˈcɪlʲiən̪ˠ
teoiric	ˈtʲoːɾʲɪc
dhá	ɣɑː
thigh	hɪ
nimhneach	ˈnʲəinʲəx
deil	dʲɛlʲ
toiligh	ˈt̪ˠɛlʲə
réim	ɾˠeːmʲ
síbín	ˈʃiːbʲiːnʲ
téim	tʲeːmʲ
altfaidh	ˈɛl̠ˠt̪ˠfˠə
fíbín	ˈfʲiːbʲiːnʲ
meil	mʲɛlʲ
Baile Meánach	ˌbˠalʲə ˈmʲeɑːn̪ˠəx
go dtí go	ɡəˈdʲiː ɡə
léim	lʲeːmʲ
pardún	ˈpˠaɾˠəd̪ˠuːnˠ
géim	ɟeːmʲ
béim	bʲeːmʲ
peil	pʲɛlʲ
céim	ceːmʲ
Éadbhard	ˈeːd̪ˠwəɾˠd̪ˠ
Iarmhí	ˈiəɾʲvʲiː
sílim	ˈʃiːlʲɪmʲ
ded	dʲɪdʲ
gíotáil	ˈɟiːt̪ˠɑːlʲ
lenarbh	ˈlʲɛn̪ˠəɾˠw
eiseachaid	ˈɛʃəxədʲ
t-iasc	tʲ-ˈiəsˠk
déanadh	ˈdʲeːn̪ˠə
lámh	lˠáiː
cleasach	ˈclʲasˠəx
deara	ˈdʲaɾˠə
gníomhaí	ˈɟɾʲiːiː
bhfuilimid	ˈwɪlʲəmʲɪdʲ
mhil	vʲɪlʲ
Bríd	bʲɾʲiːdʲ
Múscraí	ˈmˠuːsˠkɾˠiː
shil	hɪlʲ
-ós	-oːsˠ
muir	mˠɪɾʲ
fhreastail	ˈɾʲasˠt̪ˠəlʲ
go fóill	ɡəˈfˠólˠ
ar shiúl	əɾˠˈhuːlˠ
fulaingt	ˈfˠʊlˠəŋtʲ
olc	ɔl̪ˠk
gríosach	ˈɟɾʲiːsˠəx
salainn	ˈsˠalˠən̪ˠ
plaice	ˈpˠlˠacɪ
maola	ˈmˠiːlˠə
Ruairí	ˈɾˠuəɾʲiː
shrathnaigh	ˈhɾˠahn̪ˠə
grúdaire	ˈɡɾˠuːd̪ˠəɾʲə
dhara	ˈɣaɾˠə
spéireata	ˈʃpʲeːɾʲət̪ˠə
meara	ˈmʲaɾˠə
Danmhairgis	ˈd̪ˠan̪ˠwəɾʲɟɪʃ
Dia duit	ˌdʲiə ˈd̪ˠɪtʲ
aithinne	ˈahən̪ˠə
feoigh	fʲɪ
ar bís	əɾˠˈbʲiːʃ
uaigh	ˈuə
led	lʲɪdʲ
goideann	ˈɡɛdʲən̪ˠ
alt	ɛl̠ˠt̪ˠ
manglam	ˈmˠɪŋlˠəmˠ
briste	ˈbʲɾʲɪʃtʲə
atuirseach	ˈat̪ˠəɾˠʃəx
riabhóg	ˈɾˠiəuoːɡ
sceideal	ˈʃcɛdʲəlˠ
spealadóir	ˈʃpʲalˠəd̪ˠóɾʲ
scríob	ʃcɾʲiːbʲ
cogain	ˈkɔɡənʲ
rós	ɾˠoːsˠ
nós	n̪ˠoːsˠ
fuilimid	ˈfˠɪlʲəmʲɪdʲ
eol	oːlˠ
col	kɔlˠ
dol	d̪ˠɔlˠ
rúnda	ˈɾˠuːn̪ˠd̪ˠə
fós	fˠoːsˠ
Ruadhán	ˈɾˠuəɣɑːnˠ
néaltach	ˈnʲeːl̠ˠt̪ˠəx
acmhainneach	ˈakwən̪ˠəx
fágfar	ˈfˠɑːɡfˠəɾˠ
mhaoin	wiːnʲ
innealta	ˈɪnʲəl̪ˠt̪ˠə
fríd	fʲɾʲiːdʲ
iomrá	ˈʊmˠɾˠɑː
mol	mˠɔlˠ
mhallaigh	ˈwalˠə
déanach	ˈdʲeːn̪ˠəx
fungasach	ˈfˠʊŋəsˠəx
spaisteoireacht	ˈsˠpˠaʃtʲoːɾʲəxt̪ˠ
abhrasóir	ˈəuɾˠəsˠóɾʲ
a lán	əˈlˠɑːn̪ˠ
teastas	ˈtʲasˠt̪ˠəsˠ
cis	cɪʃ
tríd	tʲɾʲiːdʲ
uaireanta	ˈuəɾʲən̪ˠt̪ˠə
líonra	ˈlʲiːn̠̪ˠɾˠə
gríobh	ɟɾʲiːvʲ
reachtach	ˈɾˠaxt̪ˠəx
béil	bʲeːlʲ
cloigín	ˈklˠɛɟiːnʲ
bruach	bˠɾˠuəx
cruach	kɾˠuəx
tiúba	ˈtʲuːbˠə
rincí	ˈɾˠɪn̠ʲciː
clabhta	ˈklˠəut̪ˠə
beidh	bʲɪ
taoide	ˈt̪ˠiːdʲə
snáfa	ˈsˠn̪ˠɑːfˠə
gach uile dhuine	ɡax ɪlʲə ˈɣɪnʲə
buile	ˈbˠɪlʲə
tusa	ˈt̪ˠʊsˠə
hard	haɾˠd̪ˠ
Peirsis	ˈpʲɛɾˠʃəʃ
mainicín	ˈmˠanʲɪciːnʲ
díthairbheach	ˈdʲiːhəɾʲvʲəx
diúl	ˈdʲuːlˠ
áras	ˈɑːɾˠəsˠ
muic	mˠɪc
bearr	bʲaːɾˠ
céad	ceːd̪ˠ
bus	bˠʊsˠ
caidhp bháis	kɑːpˠ ˈwɑːʃ
fearr	fʲaːɾˠ
bheireann	ˈvʲɛɾʲən̪ˠ
teach ósta	tʲax ˈoːsˠt̪ˠə
oícheanta	ˈoiːçən̪ˠt̪ˠə
súsán	ˈsˠuːsˠɑːnˠ
Nic	nʲɪc
innealtóir	ˈɪnʲəl̪ˠt̪ˠóɾʲ
súile	ˈsˠúlʲə
iolrán	ˈiəl̪ˠɾˠɑːnˠ
Tomás	ˈt̪ˠɔmˠɑːsˠ
fusa	ˈfˠʊsˠə
beid	bʲɛdʲ
iontas	ˈiən̪ˠt̪ˠəsˠ
sagart	ˈsˠaɡəɾˠt̪ˠ
máistir	ˈmˠɑːʃtʲəɾʲ
mósáic	ˈmˠoːsˠɑːc
gruag	ɡɾˠuəɡ
gc	ɡ
gearba	ˈɟaɾˠəbˠə
méadar	ˈmʲeːd̪ˠəɾˠ
mór	mˠoːɾˠ
facabhair	ˈfˠakəuəɾʲ
gcaoga	ˈɡiːɡə
inneall	ˈɪnʲəlˠ
phá	fˠɑː
buachalán	ˈbˠuəxəlˠɑːnˠ
Carghas	ˈkaɾˠɣəsˠ
Eoin	oːnʲ
lampaí	ˈlˠamˠpˠiː
rothar	ˈɾˠɔhəɾˠ
Cléire	ˈclʲeːɾʲə
seanchas	ˈʃan̪ˠxəsˠ
clismirt	ˈclʲɪʃmʲəɾˠtʲ
pór	pˠoːɾˠ
dtailte	ˈd̪ˠɛl̠ʲtʲə
iasc	ˈiəsˠk
iascaireacht	ˈiəsˠkəɾʲəxt̪ˠ
fabhtach	ˈfˠəut̪ˠəx
-aíonn	-iːən̪ˠ
