deice	ˈdʲɛcɪ
phléisiúr	ˈfʲlʲeːʃuːɾˠ
minicí	ˈmʲɪnʲɪciː
fheoil	oːlʲ
ceachta	ˈcaxt̪ˠə
saoirse	ˈsˠiːɾˠʃə
Róimh	ˈɾˠó
earráideach	ˈaɾˠɑːdʲəx
cheoil	çoːlʲ
matrarcach	ˈmˠat̪ˠɾˠəɾˠkəx
iontráil	ˈiən̪ˠt̪ˠɾˠɑːlʲ
éidí	ˈeːdʲiː
cú	kuː
siadsan	ˈʃiəd̪ˠsˠən̪ˠ
nd	n̪ˠ
Airméinis	ˈaɾʲmʲeːnʲəʃ
seamhan	ˈʃəuən̪ˠ
cion	ˈciən̪ˠ
deartháir	ˈdʲaɾˠɑːɾʲ
ceachartha	ˈcaxəɾˠə
iadsan	ˈiəd̪ˠsˠən̪ˠ
sásair	ˈsˠɑːsˠəɾʲ
péist	pʲeːʃtʲ
bhíomar	ˈvʲiːmˠəɾˠ
nílid	ˈnʲiːlʲɪdʲ
saghas	ˈsˠaiəsˠ
faoi deara	fˠiːˈdʲaɾˠə
ad	ad̪ˠ
címíd	ˈciːmʲiːdʲ
gcoinneal	ˈɡɪnʲəlˠ
caibléara	ˈkabʲlʲeːɾˠə
dá	d̪ˠɑː
Fórsa Cosanta Áitiúil	ˌfˠoːɾˠsˠə kɔsˠən̪ˠt̪ˠə ˈɑːtʲúlʲ
Colm	kɔl̪ˠmˠ
inne	ˈɪnʲə
coisin	ˈkɛʃɪnʲ
chon	xɔn̪ˠ
feasta	ˈfʲasˠt̪ˠə
cráite	ˈkɾˠɑːtʲə
sú	sˠuː
rú	ɾˠuː
smigead	ˈʃmʲɪɟəd̪ˠ
tú	t̪ˠuː
buatais	ˈbˠuət̪ˠəʃ
ianaithe	ˈiən̪ˠəhə
deamhan	ˈdʲəuən̪ˠ
tagann	ˈt̪ˠaɡən̪ˠ
as a chéile	asˠ əˈçeːlʲə
goba	ˈɡɔbˠə
fiaclóir	ˈfʲiəklˠóɾʲ
urra	ˈʊɾˠə
díle	ˈdʲiːlʲə
gluais	ˈɡlˠuəʃ
cora	ˈkɔɾˠə
ógfhear	ˈoːɟəɾˠ
eachtra	ˈaxt̪ˠɾˠə
cluais	ˈklˠuəʃ
