word,tags,ipa
Carraig Fhearghais,Munster,ˌkɑɾˠɪɟ fʲaˈɾˠiːʃ
Carraig Fhearghais,Ulster,ˌkaɾˠɪc ˈfʲaɾˠəɡəʃ
Catalóin,Ulster; Connacht,ˈkatˠəl̪ˠoːnʲ
Catalóin,Munster,katˠəˈl̪ˠoːnʲ
Catalóinis,,ˈkatˠəl̪ˠoːnʲəʃ
Cathal,,ˈkahəlˠ
Cealla Beaga,Ulster,ˈcal̪ˠə ˈbʲɨ̞ɡə
Ceallach,Connacht,ˈcal̪ˠəx
Ceallach,Munster,cəˈl̪ˠax
Ceallach,Ulster,ˈcal̪ˠa(h)
Ceanada,,ˈcanˠəd̪ˠə
Ceatharlach,Connacht,ˈcɑːɾˠl̪ˠəx
Ceatharlach,Munster; Connacht,ˈcahəɾˠl̪ˠəx
Ceatharlach,Ulster,ˈcahəɾˠl̪ˠa(x)
Ceilteach,Connacht,ˈcɛl̠ʲtʲəx
Ceilteach,Munster,ˈcɛlʲtʲəx
Ceilteach,Ulster,ˈcɛl̠ʲtʲa(x)
Ch,,"x, ç"
Cheatharlach,Connacht,ˈçɑːɾˠl̪ˠəx
Cheatharlach,Munster; Connacht,ˈçahəɾˠl̪ˠəx
Cheatharlach,Ulster,ˈçahəɾˠl̪ˠa(x)
Chian,,çiənˠ
Chill Chainnigh,Galway,ˌçiːl̠ʲ ˈxan̠ʲə
Chill Chainnigh,Mayo; Ulster,ˌçɪl̠ʲ ˈxan̠ʲiː
Chill Chainnigh,Munster,ˌçiːlʲ ˈxɑnʲɪɟ
Chill Mhantáin,Galway,ˌçiːl̠ʲ ˈwan̪ˠt̪ˠɑːnʲ
Chill Mhantáin,Mayo,ˌçɪl̠ʲ ˈwan̪ˠt̪ˠɑːnʲ
Chill Mhantáin,Munster,ˌçiːlʲ vˠɑn̪ˠˈt̪ˠɑːnʲ
Chill Mhantáin,Ulster,ˌçɪl̠ʲ ˈwan̪ˠt̪ˠænʲ
Chiribeas,,ˈxɪɾʲəˌbas
Cholm,,"ˈxɔlˠəmˠ, ˈxɔl̪ˠəmˠ"
Cholm Cille,Ulster; Connacht,"ˌxɔlˠəmˈcɪl̠ʲə, ˌxɔl̪ˠəmˈcɪl̠ʲə"
Cholm Cille,Munster,ˌxɔl̪ˠəmˈcɪlʲə
Chonamara,Cois-Fharraige,ˌxʊn̪ˠəˈmaɾˠə
Chonchúir,Galway,"ˈxnˠoxuːɾʲ, ˈxunˠəxəɾʲ"
Chonchúir,Munster,"xɾˠoˈhuːɾʲ, xɾˠoˈxuːɾʲ ~ xɾˠəˈxuːɾʲ"
Chonchúir,Ulster,"ˈxɾˠohəɾʲ ~ ˈxɾˠuhəɾʲ, ˈxɾˠʌhuɾʲ, ˈxɾˠʌ̃xəɾʲ"
Chonnacht,Connacht,ˈxʊn̪ˠəxt̪ˠ
Chonnacht,Munster,ˈxɔn̪ˠəxt̪ˠ
Chonnacht,Ulster,ˈxʌn̪ˠa(x)t̪ˠ
Chonnachta,Connacht,ˈxʊn̪ˠəxt̪ˠə
Chonnachta,Munster,ˈxɔn̪ˠəxt̪ˠə
Chonnachta,Ulster,ˈxʌn̪ˠa(x)t̪ˠə
Cháit,Munster; Connacht,xɑːtʲ
Cháit,Ulster,xaːtʲ
Chásca,Munster; Connacht,ˈxɑːsˠkə
Chásca,Ulster,ˈxaːsˠkə
Cian,,ˈciənˠ
Ciarraí,,ˈciəɾˠiː
Ciarán,Connacht,ˈciəɾˠɑːnˠ
Ciarán,Munster,ciəˈɾˠɑːn̪ˠ
Ciarán,Ulster,ˈciəɾˠænˠ
Cill Airne,Munster,ˌciːl̠ʲ ˈaːɾˠn̠ʲə
Cill Chainnigh,Galway,ˌciːl̠ʲ ˈxan̠ʲə
Cill Chainnigh,Mayo; Ulster,ˌcɪl̠ʲ ˈxan̠ʲiː
Cill Chainnigh,Munster,ˌciːlʲ ˈxɑnʲɪɟ
Cill Droichid,Galway,"ˌciːl̠ʲ ˈd̪ˠɾˠaidʲ, ˌciːl̠ʲ ˈd̪ˠɾˠeːdʲ, ˌciːl̠ʲ ˈd̪ˠɾˠɛhədʲ"
Cill Droichid,Mayo; Ulster,ˌcɪl̠ʲ ˈd̪ˠɾˠɛçədʲ
Cill Droichid,Munster,ˌciːlʲ ˈd̪ˠɾˠʌhədʲ
Cill Mhantáin,Galway,ˌciːl̠ʲ ˈwan̪ˠt̪ˠɑːnʲ
Cill Mhantáin,Mayo,ˌcɪl̠ʲ ˈwan̪ˠt̪ˠɑːnʲ
Cill Mhantáin,Munster,ˌciːlʲ vˠɑn̪ˠˈt̪ˠɑːnʲ
Cill Mhantáin,Ulster,ˌcɪl̠ʲ ˈwan̪ˠt̪ˠænʲ
Cillian,Ulster; Connacht,ˈcɪl̠ʲiənˠ
Cillian,Munster,cɪˈlʲiən̪ˠ
Cincís,Connacht,ˈcɪɲciːʃ
Cincís,Munster,cɪɲˈciːʃ
Cincís,Ulster,ˈcɪɲciʃ
Cireabaití,,ˈkɪɾʲəˌbatiː
Ciribeas,,ˈkɪɾʲəˌbas
